"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,22.5,52.20381915104586,45,11,19,34,11,6,7,15,17
1,1,2,21.6,51.8,43.2,10.600000000000001,18.2,32.6,10.600000000000001,5.8,6.7,14.399999999999999,16.3
1,1,3,21.200000000000003,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,4,21.200000000000003,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,5,21.6,51.8,43.2,10.600000000000001,18.2,32.6,10.600000000000001,5.8,6.7,14.399999999999999,16.3
1,1,6,23.4,51.27799062309413,46.8,11.400000000000002,19.8,35.4,11.400000000000002,6.2,7.3,15.600000000000001,17.7
1,1,7,26.1,55.52598144429338,52.2,12.8,22,39.4,12.8,7,8.1,17.4,15.197046651936697
1,1,8,30.6,65.46410760752539,61.2,15,25.8,40.38658084838673,13.0494929370596,8.2,9.5,20.4,9.182520398161206
1,1,9,33.3,79.9,66.6,16.3,28.1,40.24296591070111,11.181410435823969,8.9,10.3,22.199999999999996,7.359830229340229
1,1,10,34.7,83.2,69.3,16.9,29.3,41.74921215986814,10.531663154008262,9.2,10.8,23.1,6.661065183080548
1,1,11,35.6,85.3,71.1,17.4,30,43.48196257616327,10.196558773050263,9.5,11.099999999999998,23.700000000000003,6.329031303785522
1,1,12,36,86.4,72,17.6,30.4,44.934429263068424,10.168096292793575,9.6,11.2,24,6.268234649303563
1,1,13,36.5,87.5,72.9,17.8,30.8,45.80188852133937,10.03330094535296,9.7,11.3,24.3,6.114915575530251
1,1,14,36,86.4,72,17.6,30.4,45.51943669170263,10.274429159977505,9.6,11.2,24,6.360757068594916
1,1,15,35.1,84.2,70.2,17.2,29.6,44.95832835442465,10.784122404772475,9.4,10.9,23.4,6.888970370153313
1,1,16,34.2,82.1,68.4,16.7,28.9,43.81058536676374,11.225559652914406,9.1,10.600000000000001,22.800000000000004,7.313526668739698
1,1,17,34.7,83.2,69.3,16.9,29.3,41.16420473123394,10.425330286824328,9.2,10.8,23.1,6.5685427637891936
1,1,18,35.6,78.83402788680947,71.1,17.4,30,37.53211097163809,9.000521226971856,9.5,11.099999999999998,23.700000000000003,5.288334384223954
1,1,19,39.2,48.40027476079623,78.3,19.1,33.1,35.46566165538135,6.092549035127151,10.4,12.2,26.1,2.4760960588223435
1,1,20,41.89999999999999,34.6103067324764,83.70000000000002,20.5,35.3,33.63419693728394,3.8631331929712998,11.2,13,27.9,0.3832683563763917
1,1,21,43.7,30.402694610062973,87.15930592554052,21.299999999999997,36.9,27.939244950564696,5.814967187946114,11.6,13.599999999999998,26.81314477559411,0.8719878383433199
1,1,22,45,30.17670164032648,86.10796362711199,22,38,27.939244950564696,5.406930321606927,12,13.329739911329026,26.17548757747047,0.8719878383433199
1,1,23,40.099999999999994,34.273235705273976,80.1,19.6,33.8,34.93193792862569,5.328054286459103,10.7,12.5,26.7,1.7704407707091296
1,1,24,37.4,37.61807260632493,74.7,18.3,31.5,36.49934352496119,7.606740400902588,9.9,11.6,24.9,3.9187965292897364
