"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,374.4515106636531,0,0,-101.47342553808672,0
1,1,2,4.229376447284945,0,0,-2.2942608036431307,0
1,1,3,4.229376447284987,0,0,-2.2942608036431236,0
1,1,4,4.22937644728488,0,0,-2.2942608036431373,0
1,1,5,4.22937644728488,0,0,-2.2942608036431373,0
1,1,6,374.4515106636531,0,0,-101.47342553808672,0
1,1,7,428.95535633976294,0,0,-453.56830738925777,0
1,1,8,0,-312.76175894727754,0,-734.6049520292031,0
1,1,9,0,-126.81166435788101,0,-648.8792877280309,0
1,1,10,154.04452088610114,0,0,-603.9769748421814,0
1,1,11,154.04452088610114,0,0,-603.9769748421814,0
1,1,12,154.04452088610114,0,0,-603.9769748421814,0
1,1,13,154.04452088610114,0,-151.6842449664394,-603.9769748421814,0
1,1,14,154.04452088610114,0,0,-603.9769748421814,0
1,1,15,154.04452088610114,0,0,-603.9769748421814,0
1,1,16,154.04452088610114,0,0,-603.9769748421814,0
1,1,17,154.04452088610114,0,0,-603.9769748421814,0
1,1,18,0,-312.76175894727754,0,-734.6049520292031,0
1,1,19,0,-312.76175894727754,0,-734.6049520292031,0
1,1,20,0,-327.7940059498069,0,-751.069206055141,0
1,1,21,0,-434.0421290355343,0,-911.2764201417533,0
1,1,22,0,-434.12952600383625,0,-916.0004397736002,0
1,1,23,0,-327.7940059498069,0,-751.069206055141,0
1,1,24,0,-312.76175894727754,0,-734.6049520292031,0
