"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,0,99.04561700861565,0,100,40.65820214243022
1,1,2,0,98.91245508693206,0,100,32.88754491306794
1,1,3,0,101.71675043313391,0,100,25.18324956686604
1,1,4,0,101.71675043313392,0,100,25.183249566866056
1,1,5,0,98.91245508693206,0,100,32.887544913067934
1,1,6,0,103.94568187376505,0,100,42.3323087493291
1,1,7,0,116.19812690066128,6.5,100,45.82490119556881
1,1,8,1.151616169290488,130,19.5,100,48.13108562184246
1,1,9,0.7035296960156789,130,45.5,100,48.18067687984964
1,1,10,0,116.28138114505074,71.5,100,47.66055935190623
1,1,11,0,99.14532432669017,97.5,100,47.062228326308855
1,1,12,0,85.01007894198203,117,100,46.56068126318354
1,1,13,0,76.48896362204482,130,100,46.26114142017778
1,1,14,0,79.49594887721108,123.5,100,46.35867404306397
1,1,15,0,85.57899239215539,110.5,100,46.55242873719507
1,1,16,0,97.20091914574496,91,100,46.94875254267288
1,1,17,0,121.79551120982168,65,100,47.8625665720258
1,1,18,10.938240125502368,130,39,100,49.11675434414097
1,1,19,18.004267540137292,130,13,100,49.830313969989774
1,1,20,23.390905219108014,130,2.6,100,50
1,1,21,26.10134528805171,130,0,100,50
1,1,22,27.008055866752883,130,0,100,50
1,1,23,19.8036686910679,130,0,100,50
1,1,24,14.469576782774606,130,0,100,49.47337627870384
