"scenario","stage","block","uid","value"
1,1,1,1,-980
1,1,1,2,-980
1,1,1,3,-980
1,1,1,4,-980
1,1,1,5,-980
1,1,1,6,-980
1,1,1,7,-980
1,1,1,8,-980
1,1,1,9,-980
1,1,1,10,-980
1,1,1,11,-980
1,1,1,12,-980
1,1,1,13,-980
1,1,1,14,-980
1,1,1,15,-980
1,1,1,16,-980
1,1,1,17,-980
1,1,1,18,-980
1,1,1,19,-980
1,1,1,20,-980
1,1,1,21,-980
1,1,1,22,-980
1,1,1,23,-980
1,1,1,24,-980
1,1,1,25,-980
1,1,1,26,-980
1,1,1,27,-980
1,1,1,28,-980
1,1,1,29,-980
1,1,1,30,-980
1,1,1,31,-980
1,1,1,32,-980
1,1,1,33,-980
1,1,1,34,-980
1,1,1,35,-980
1,1,1,36,-980
1,1,1,37,-980
1,1,1,38,-980
1,1,1,39,-980
1,1,1,40,-980
1,1,1,41,-980
1,1,1,42,-980
