"scenario","stage","block","uid","value"
1,1,1,1,20
1,1,2,1,20
1,1,3,1,20
1,1,4,1,20
1,1,5,1,20
1,1,6,1,20
1,1,7,1,20
1,1,8,1,20
1,1,9,1,20
1,1,10,1,20
1,1,11,1,20
1,1,12,1,20
1,1,13,1,20
1,1,14,1,20
1,1,15,1,20
1,1,16,1,20
1,1,17,1,20
1,1,18,1,20
1,1,19,1,20
1,1,20,1,20
1,1,21,1,20
1,1,22,1,20
1,1,23,1,20
1,1,24,1,20
1,1,1,2,35
1,1,2,2,35
1,1,3,2,35
1,1,4,2,35
1,1,5,2,35
1,1,6,2,35
1,1,7,2,35
1,1,8,2,35
1,1,9,2,35
1,1,10,2,35
1,1,11,2,35
1,1,12,2,35
1,1,13,2,35
1,1,14,2,35
1,1,15,2,35
1,1,16,2,35
1,1,17,2,35
1,1,18,2,35
1,1,19,2,35
1,1,20,2,35
1,1,21,2,35
1,1,22,2,35
1,1,23,2,35
1,1,24,2,35
1,1,1,3,35
1,1,2,3,35
1,1,3,3,35
1,1,4,3,35
1,1,5,3,35
1,1,6,3,35
1,1,7,3,35
1,1,8,3,35
1,1,9,3,35
1,1,10,3,35
1,1,11,3,35
1,1,12,3,35
1,1,14,3,35
1,1,15,3,35
1,1,16,3,35
1,1,17,3,35
1,1,18,3,35
1,1,19,3,1000
1,1,20,3,1000
1,1,21,3,1000
1,1,22,3,1000
1,1,23,3,1000
1,1,24,3,1000
1,1,1,4,35
1,1,2,4,35
1,1,3,4,35
1,1,4,4,35
1,1,5,4,35
1,1,6,4,35
1,1,7,4,35
1,1,8,4,35
1,1,9,4,35
1,1,10,4,35
1,1,11,4,35
1,1,12,4,35
1,1,13,4,35
1,1,14,4,35
1,1,15,4,35
1,1,16,4,35
1,1,17,4,35
1,1,18,4,35
1,1,19,4,1000
1,1,20,4,1000
1,1,21,4,1000
1,1,22,4,1000
1,1,23,4,1000
1,1,24,4,1000
1,1,1,5,35
1,1,2,5,35
1,1,3,5,35
1,1,4,5,35
1,1,5,5,35
1,1,6,5,35
1,1,7,5,35
1,1,8,5,35
1,1,9,5,35
1,1,10,5,35
1,1,11,5,35
1,1,12,5,35
1,1,13,5,35
1,1,14,5,35
1,1,15,5,35
1,1,16,5,35
1,1,17,5,35
1,1,18,5,35
1,1,19,5,1000
1,1,20,5,1000
1,1,21,5,1000
1,1,22,5,1000
1,1,23,5,1000
1,1,24,5,1000
1,1,1,6,35
1,1,2,6,35
1,1,3,6,35
1,1,4,6,35
1,1,5,6,35
1,1,6,6,35
1,1,7,6,35
1,1,8,6,35
1,1,9,6,35
1,1,10,6,35
1,1,11,6,35
1,1,12,6,35
1,1,13,6,35
1,1,14,6,35
1,1,15,6,35
1,1,16,6,35
1,1,17,6,35
1,1,18,6,35
1,1,19,6,1000
1,1,20,6,1000
1,1,21,6,1000
1,1,22,6,1000
1,1,23,6,1000
1,1,24,6,1000
1,1,1,7,35
1,1,2,7,35
1,1,3,7,35
1,1,4,7,35
1,1,5,7,35
1,1,6,7,35
1,1,7,7,35
1,1,8,7,35
1,1,9,7,35
1,1,10,7,35
1,1,11,7,35
1,1,12,7,35
1,1,13,7,35
1,1,14,7,35
1,1,15,7,35
1,1,16,7,35
1,1,17,7,35
1,1,18,7,35
1,1,19,7,1000
1,1,20,7,1000
1,1,21,7,1000
1,1,22,7,1000
1,1,23,7,1000
1,1,24,7,1000
1,1,1,8,35
1,1,2,8,35
1,1,3,8,35
1,1,4,8,35
1,1,5,8,35
1,1,6,8,35
1,1,7,8,35
1,1,8,8,35
1,1,9,8,35
1,1,10,8,35
1,1,11,8,35
1,1,12,8,35
1,1,13,8,35
1,1,14,8,35
1,1,15,8,35
1,1,16,8,35
1,1,17,8,35
1,1,18,8,35
1,1,19,8,1000
1,1,20,8,1000
1,1,21,8,1000
1,1,22,8,1000
1,1,23,8,1000
1,1,24,8,1000
1,1,1,9,35
1,1,2,9,35
1,1,3,9,35
1,1,4,9,35
1,1,5,9,35
1,1,6,9,35
1,1,7,9,35
1,1,8,9,35
1,1,9,9,35
1,1,10,9,35
1,1,11,9,35
1,1,12,9,35
1,1,13,9,35
1,1,14,9,35
1,1,15,9,35
1,1,16,9,35
1,1,17,9,35
1,1,18,9,35
1,1,19,9,1000
1,1,20,9,1000
1,1,21,9,1000
1,1,22,9,1000
1,1,23,9,1000
1,1,24,9,1000
