"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,0,551.4636846721565,0
1,1,2,0,551.4636846721565,0
1,1,3,0,551.4636846721565,0
1,1,4,0,551.4636846721565,0
1,1,5,0,551.4636846721565,0
1,1,6,0,551.4636846721565,0
1,1,7,0,551.4636846721565,0
1,1,8,0,551.4636846721565,0
1,1,9,0,551.4636846721565,0
1,1,10,0,735.0114802150574,888.0211075531631
1,1,11,0,735.0114802150574,888.0211075531631
1,1,12,0,735.0114802150574,888.0211075531631
1,1,13,0,735.0114802150574,888.0211075531631
1,1,14,0,735.0114802150574,888.0211075531631
1,1,15,0,735.0114802150574,888.0211075531631
1,1,16,0,735.0114802150574,888.0211075531631
1,1,17,0,685.4261676354545,648.1228071400863
1,1,18,0,551.4636846721565,0
1,1,19,0,551.4636846721565,0
1,1,20,0,0,0
1,1,21,0,0,0
1,1,22,0,0,0
1,1,23,0,551.4636846721565,0
1,1,24,0,551.4636846721565,0
