"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,80.07420302013776,0,45.86553806564059
1,1,2,73.34246667523098,0,41.09742723502721
1,1,3,69.97659850277762,0,36.76337181972053
1,1,4,69.97659850277762,0,36.76337181972053
1,1,5,73.34246667523098,0,41.09742723502721
1,1,6,86.80593936504455,0,52.73364889625395
1,1,7,108.8646210895784,0,53.374203049320826
1,1,8,144.38677550392583,0,48.25097886361442
1,1,9,166.4454572284597,0,12.39153301668128
1,1,10,167.4666765910567,0,0
1,1,11,175.2143963065088,0,0
1,1,12,179.55034764765188,0,0
1,1,13,183.3851053476276,0,0
1,1,14,179.03857927334286,0,0
1,1,15,171.2908595578907,0,0
1,1,16,163.54313984243868,0,0
1,1,17,170.28184293952285,0,0
1,1,18,182.80892991827326,0,53.227754677908024
1,1,19,210.66761164280715,0,139.0683088309749
1,1,20,230.74345412187623,0.5380701702532349,175.06142595557054
1,1,21,242.34345412187625,4.738070170253252,184.36142595557052
1,1,22,251.04345412187624,8.93807017025324,184.36142595557052
1,1,23,216.46761164280716,0,168.0683088309749
1,1,24,195.8065344356334,0,155.2299209238281
