"scenario","stage","block","uid","value"
1,1,1,1,145
1,1,2,1,139.2
1,1,3,1,136.3
1,1,4,1,136.3
1,1,5,1,139.2
1,1,6,1,150.8
1,1,7,1,168.2
1,1,8,1,197.2
1,1,9,1,214.6
1,1,10,1,223.3
1,1,11,1,229.1
1,1,12,1,232
1,1,13,1,234.9
1,1,14,1,232
1,1,15,1,226.2
1,1,16,1,220.4
1,1,17,1,223.3
1,1,18,1,229.1
1,1,19,1,252.3
1,1,20,1,269.7
1,1,21,1,281.3
1,1,22,1,290
1,1,23,1,258.1
1,1,24,1,240.7
1,1,1,2,84
1,1,2,2,79.8
1,1,3,2,77.7
1,1,4,2,77.7
1,1,5,2,79.8
1,1,6,2,88.2
1,1,7,2,109.2
1,1,8,2,138.6
1,1,9,2,159.6
1,1,10,2,172.2
1,1,11,2,178.5
1,1,12,2,182.7
1,1,13,2,184.8
1,1,14,2,180.6
1,1,15,2,174.3
1,1,16,2,168
1,1,17,2,163.8
1,1,18,2,168
1,1,19,2,143.5
1,1,20,2,92.6
1,1,21,2,71.7
1,1,22,2,63
1,1,23,2,189
1,1,24,2,174.3
1,1,1,3,82.7
1,1,2,3,78.8
1,1,3,3,74.9
1,1,4,3,74.9
1,1,5,3,78.8
1,1,6,3,88.7
1,1,7,3,98.5
1,1,8,3,114.3
1,1,9,3,128.1
1,1,10,3,134
1,1,11,3,137.9
1,1,12,3,141.8
1,1,13,3,145.8
1,1,14,3,141.8
1,1,15,3,137.9
1,1,16,3,134
1,1,17,3,137.9
1,1,18,3,153.7
1,1,19,3,181.2
1,1,20,3,193.1
1,1,21,3,197
1,1,22,3,197
1,1,23,3,102.9
1,1,24,3,135
