# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,50,1,sddp_fcut_0_50_1_0,2.08405e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:-0,28209:-0,28271:-0,28302:-0,sddp_alpha_0_49=1000
o,49,1,sddp_ecut_0_49_1_1,2.73226e+09,28054:207993,28085:26.2668,28116:62873.9,28147:33653.2,28178:2.74822,28209:10506.3,28271:45111.6,28302:20191.9,sddp_alpha_0_48=1000
o,48,1,sddp_ecut_0_48_1_2,3.36062e+09,28054:207993,28085:56.6905,28116:61522.2,28147:33653.2,28178:7.00108,28209:10506.3,28271:45111.6,28302:21344.7,sddp_alpha_0_47=1000
o,47,1,sddp_ecut_0_47_1_3,3.94464e+09,28054:207993,28085:71.7051,28116:33653.2,28147:33653.2,28178:9.06042,28209:9806.04,28271:45111.6,28302:21852.9,sddp_alpha_0_46=1000
o,46,1,sddp_ecut_0_46_1_4,4.50907e+09,28054:207993,28085:85.7436,28116:33653.2,28147:33653.2,28178:11.844,28209:10506.3,28271:45111.6,28302:20191.9,sddp_alpha_0_45=1000
o,45,1,sddp_ecut_0_45_1_5,5.13857e+09,28054:207993,28085:144667,28116:62233.8,28147:33653.2,28178:14.7947,28209:10276.2,28271:44123.3,28302:19749.5,sddp_alpha_0_44=1000
o,44,1,sddp_ecut_0_44_1_6,5.83006e+09,28054:207993,28085:147140,28116:62873.9,28147:33653.2,28178:17.9114,28209:10506.3,28271:45111.6,28302:20191.9,sddp_alpha_0_43=1000
o,43,1,sddp_ecut_0_43_1_7,6.61806e+09,28054:207993,28085:147141,28116:62873.9,28147:33653.2,28178:21.7796,28209:10506.3,28271:45111.6,28302:20191.9,sddp_alpha_0_42=1000
o,42,1,sddp_ecut_0_42_1_8,7.44711e+09,28004:207993,28035:147121,28066:62873.9,28097:33653.2,28128:26.6423,28159:10506.3,28221:45111.6,28252:20191.9,sddp_alpha_0_41=1000
o,41,1,sddp_ecut_0_41_1_9,8.24985e+09,28004:207993,28035:147146,28066:62873.9,28097:33653.2,28128:31.4286,28159:10506.3,28221:45111.6,28252:20191.9,sddp_alpha_0_40=1000
o,40,1,sddp_ecut_0_40_1_10,9.15308e+09,28004:223991,28035:158465,28066:67710.1,28097:36241.7,28128:40.3422,28159:11314.5,28221:54623.3,28252:27786.8,sddp_alpha_0_39=1000
