Hidro,Bloque,TipoEtapa,BarNum,BarNom,CMgBar,DemBarP,DemBarE,PerBarP,PerBarE,BarRetP,BarRetE
Sim  1,   1,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   2,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   3,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   4,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   5,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   6,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   7,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   8,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   9,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  10,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  11,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  12,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  13,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  14,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  15,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  16,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  17,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  18,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  19,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  20,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  21,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  22,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  23,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  24,Stage01     ,   1,b1                                              ,     20.00,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   1,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   2,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   3,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   4,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   5,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   6,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   7,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   8,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   9,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  10,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  11,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  12,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  13,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  14,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  15,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  16,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  17,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  18,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  19,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  20,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  21,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  22,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  23,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,  24,Stage01     ,   2,b2                                              ,     20.03,      0.00,          0.000,          0.000,          0.000,          0.000,          0.000
Sim  1,   1,Stage01     ,   3,b3                                              ,     20.04,     30.00,          0.030,          0.000,          0.000,        601.310,          0.601
Sim  1,   2,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
Sim  1,   3,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
Sim  1,   4,Stage01     ,   3,b3                                              ,     20.04,     27.00,          0.027,          0.000,          0.000,        541.179,          0.541
Sim  1,   5,Stage01     ,   3,b3                                              ,     20.04,     28.00,          0.028,          0.000,          0.000,        561.222,          0.561
Sim  1,   6,Stage01     ,   3,b3                                              ,     20.04,     32.00,          0.032,          0.000,          0.000,        641.397,          0.641
