Hidro, Bloque, EssNom, Efin, EMin, EMax, DCar, DCmin, DCmax, DCMod, GDes, GDMin, GDMax, PGNet, EfPSom, EfPSom2
Sim  1,   1, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   2, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   3, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   4, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   5, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   6, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   7, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   8, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,   9, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  10, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  11, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  12, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  13, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  14, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  15, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  16, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  17, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
Sim  1,  18, BESS1,   200.000,     0.000,   200.000,     0.000,     0.000,    60.000,  0,     0.000,     0.000,    60.000,     0.000,    21.099,     5.861
