Hidro,Bloque,TipoEtapa,LinNum,LinNom,BarA,BarB,LinFluP,LinFluE,LinFluMax,LinUso,LinPerP,LinPerE,LinPer2P,LinPer2E,LinITP,LinITE
Sim  1,   1,Stage01     ,    1,l1_2                                            ,   1,   2,   20.85,    0.02,  300.00,    6.95,    0.00,    0.00,    0.00,    0.00,    0.59,    0.00
Sim  1,   2,Stage01     ,    1,l1_2                                            ,   1,   2,   19.11,    0.02,  300.00,    6.37,    0.00,    0.00,    0.00,    0.00,    0.54,    0.00
Sim  1,   3,Stage01     ,    1,l1_2                                            ,   1,   2,   18.23,    0.02,  300.00,    6.08,    0.00,    0.00,    0.00,    0.00,    0.52,    0.00
Sim  1,   4,Stage01     ,    1,l1_2                                            ,   1,   2,   18.23,    0.02,  300.00,    6.08,    0.00,    0.00,    0.00,    0.00,    0.52,    0.00
Sim  1,   5,Stage01     ,    1,l1_2                                            ,   1,   2,   19.11,    0.02,  300.00,    6.37,    0.00,    0.00,    0.00,    0.00,    0.54,    0.00
Sim  1,   6,Stage01     ,    1,l1_2                                            ,   1,   2,   22.60,    0.02,  300.00,    7.53,    0.00,    0.00,    0.00,    0.00,    0.64,    0.00
Sim  1,   7,Stage01     ,    1,l1_2                                            ,   1,   2,   28.51,    0.03,  300.00,    9.50,    0.00,    0.00,    0.00,    0.00,    0.81,    0.00
Sim  1,   8,Stage01     ,    1,l1_2                                            ,   1,   2,   38.94,    0.04,  300.00,   12.98,    0.00,    0.00,    0.00,    0.00,    1.10,    0.00
Sim  1,   9,Stage01     ,    1,l1_2                                            ,   1,   2,   49.36,    0.05,  300.00,   16.45,    0.00,    0.00,    0.00,    0.00,    1.40,    0.00
Sim  1,  10,Stage01     ,    1,l1_2                                            ,   1,   2,   56.49,    0.06,  300.00,   18.83,    0.00,    0.00,    0.00,    0.00,    1.60,    0.00
Sim  1,  11,Stage01     ,    1,l1_2                                            ,   1,   2,   59.79,    0.06,  300.00,   19.93,    0.00,    0.00,    0.00,    0.00,    1.69,    0.00
Sim  1,  12,Stage01     ,    1,l1_2                                            ,   1,   2,   61.87,    0.06,  300.00,   20.62,    0.00,    0.00,    0.00,    0.00,    1.75,    0.00
Sim  1,  13,Stage01     ,    1,l1_2                                            ,   1,   2,   63.62,    0.06,  300.00,   21.21,    0.00,    0.00,    0.00,    0.00,    1.80,    0.00
Sim  1,  14,Stage01     ,    1,l1_2                                            ,   1,   2,   61.87,    0.06,  300.00,   20.62,    0.00,    0.00,    0.00,    0.00,    1.75,    0.00
Sim  1,  15,Stage01     ,    1,l1_2                                            ,   1,   2,   58.91,    0.06,  300.00,   19.64,    0.00,    0.00,    0.00,    0.00,    1.67,    0.00
Sim  1,  16,Stage01     ,    1,l1_2                                            ,   1,   2,   56.49,    0.06,  300.00,   18.83,    0.00,    0.00,    0.00,    0.00,    1.60,    0.00
Sim  1,  17,Stage01     ,    1,l1_2                                            ,   1,   2,   57.70,    0.06,  300.00,   19.23,    0.00,    0.00,    0.00,    0.00,    1.64,    0.00
Sim  1,  18,Stage01     ,    1,l1_2                                            ,   1,   2,   61.87,    0.06,  300.00,   20.62,    0.00,    0.00,    0.00,    0.00,    1.75,    0.00
Sim  1,  19,Stage01     ,    1,l1_2                                            ,   1,   2,   70.21,    0.07,  300.00,   23.40,    0.00,    0.00,    0.00,    0.00,    1.99,    0.00
Sim  1,  20,Stage01     ,    1,l1_2                                            ,   1,   2,   77.34,    0.08,  300.00,   25.78,    0.00,    0.00,    0.00,    0.00,    2.19,    0.00
Sim  1,  21,Stage01     ,    1,l1_2                                            ,   1,   2,   74.04,    0.07,  300.00,   24.68,    0.00,    0.00,    0.00,    0.00,    2.10,    0.00
Sim  1,  22,Stage01     ,    1,l1_2                                            ,   1,   2,   66.91,    0.07,  300.00,   22.30,    0.00,    0.00,    0.00,    0.00,    1.90,    0.00
Sim  1,  23,Stage01     ,    1,l1_2                                            ,   1,   2,   52.13,    0.05,  300.00,   17.38,    0.00,    0.00,    0.00,    0.00,    1.48,    0.00
Sim  1,  24,Stage01     ,    1,l1_2                                            ,   1,   2,   34.04,    0.03,  300.00,   11.35,    0.00,    0.00,    0.00,    0.00,    0.96,    0.00
Sim  1,   1,Stage01     ,    2,l1_3                                            ,   1,   3,   29.15,    0.03,  300.00,    9.72,    0.00,    0.00,    0.00,    0.00,    1.27,    0.00
Sim  1,   2,Stage01     ,    2,l1_3                                            ,   1,   3,   26.89,    0.03,  300.00,    8.96,    0.00,    0.00,    0.00,    0.00,    1.17,    0.00
Sim  1,   3,Stage01     ,    2,l1_3                                            ,   1,   3,   25.77,    0.03,  300.00,    8.59,    0.00,    0.00,    0.00,    0.00,    1.12,    0.00
Sim  1,   4,Stage01     ,    2,l1_3                                            ,   1,   3,   25.77,    0.03,  300.00,    8.59,    0.00,    0.00,    0.00,    0.00,    1.12,    0.00
Sim  1,   5,Stage01     ,    2,l1_3                                            ,   1,   3,   26.89,    0.03,  300.00,    8.96,    0.00,    0.00,    0.00,    0.00,    1.17,    0.00
Sim  1,   6,Stage01     ,    2,l1_3                                            ,   1,   3,   31.40,    0.03,  300.00,   10.47,    0.00,    0.00,    0.00,    0.00,    1.37,    0.00
Sim  1,   7,Stage01     ,    2,l1_3                                            ,   1,   3,   39.49,    0.04,  300.00,   13.16,    0.00,    0.00,    0.00,    0.00,    1.72,    0.00
Sim  1,   8,Stage01     ,    2,l1_3                                            ,   1,   3,   54.06,    0.05,  300.00,   18.02,    0.00,    0.00,    0.00,    0.00,    2.36,    0.00
Sim  1,   9,Stage01     ,    2,l1_3                                            ,   1,   3,   68.64,    0.07,  300.00,   22.88,    0.00,    0.00,    0.00,    0.00,    3.00,    0.00
