# Archivo con la duracion de los bloques
# Bloques
    24
# Bloque   Etapa   NHoras  Ano   Mes  TipoBloque
    001    001      001    001    001    'Block01'
    002    001      001    001    001    'Block02'
    003    001      001    001    001    'Block03'
    004    001      001    001    001    'Block04'
    005    001      001    001    001    'Block05'
    006    001      001    001    001    'Block06'
    007    001      001    001    001    'Block07'
    008    001      001    001    001    'Block08'
    009    001      001    001    001    'Block09'
    010    001      001    001    001    'Block10'
    011    001      001    001    001    'Block11'
    012    001      001    001    001    'Block12'
    013    001      001    001    001    'Block13'
    014    001      001    001    001    'Block14'
    015    001      001    001    001    'Block15'
    016    001      001    001    001    'Block16'
    017    001      001    001    001    'Block17'
    018    001      001    001    001    'Block18'
    019    001      001    001    001    'Block19'
    020    001      001    001    001    'Block20'
    021    001      001    001    001    'Block21'
    022    001      001    001    001    'Block22'
    023    001      001    001    001    'Block23'
    024    001      001    001    001    'Block24'
