# Archivo de demandas por barra (plpdem.dat)
# Numero de barras con demanda
2
# Nombre de la Barra
'b3'
# Numero de Demandas
24
# Mes  Bloque   Demanda
   01    001     30.0
   01    002     28.0
   01    003     27.0
   01    004     27.0
   01    005     28.0
   01    006     32.0
   01    007     40.0
   01    008     55.0
   01    009     70.0
   01    010     80.0
   01    011     85.0
   01    012     88.0
   01    013     90.0
   01    014     88.0
   01    015     84.0
   01    016     80.0
   01    017     82.0
   01    018     88.0
   01    019    100.0
   01    020    110.0
   01    021    105.0
   01    022     95.0
   01    023     75.0
   01    024     50.0
# Nombre de la Barra
'b4'
# Numero de Demandas
24
# Mes  Bloque   Demanda
   01    001     20.0
   01    002     18.0
   01    003     17.0
   01    004     17.0
   01    005     18.0
   01    006     22.0
   01    007     28.0
   01    008     38.0
   01    009     48.0
   01    010     55.0
   01    011     58.0
   01    012     60.0
   01    013     62.0
   01    014     60.0
   01    015     57.0
   01    016     55.0
   01    017     56.0
   01    018     60.0
   01    019     68.0
   01    020     75.0
   01    021     72.0
   01    022     65.0
   01    023     50.0
   01    024     32.0
