# Archivo de mantenimientos de centrales (plpmance.dat)
# numero de centrales con mantenimientos
 1
# Nombre de la central
'g_solar'
#   Numero de Bloques e Intervalos
   24                 01
#   Mes    Bloque  NIntPot   PotMin   PotMax
     01      001        1     0.00     0.00
     01      002        1     0.00     0.00
     01      003        1     0.00     0.00
     01      004        1     0.00     0.00
     01      005        1     0.00     0.00
     01      006        1     0.00     0.00
     01      007        1     0.00     4.50
     01      008        1     0.00    13.50
     01      009        1     0.00    31.50
     01      010        1     0.00    49.50
     01      011        1     0.00    67.50
     01      012        1     0.00    81.00
     01      013        1     0.00    90.00
     01      014        1     0.00    85.50
     01      015        1     0.00    76.50
     01      016        1     0.00    63.00
     01      017        1     0.00    45.00
     01      018        1     0.00    27.00
     01      019        1     0.00     9.00
     01      020        1     0.00     1.80
     01      021        1     0.00     0.00
     01      022        1     0.00     0.00
     01      023        1     0.00     0.00
     01      024        1     0.00     0.00
