"Hidro","date","CMg"
"MEDIA",2024-06-01,57.78033333333333
"MEDIA",2024-07-01,51.696
"MEDIA",2024-08-01,57.691
"MEDIA",2024-09-01,50.74875
"MEDIA",2024-10-01,42.025999999999996
"MEDIA",2024-11-01,34.962
"MEDIA",2024-12-01,36.307
"MEDIA",2025-01-01,41.529
"MEDIA",2025-02-01,69.727
"MEDIA",2025-03-01,70.802
"MEDIA",2025-04-01,64.578
"MEDIA",2025-05-01,67.462
"MEDIA",2025-06-01,72.555
"MEDIA",2025-07-01,68.76
"MEDIA",2025-08-01,64.45400000000001
"MEDIA",2025-09-01,42.691
"MEDIA",2025-10-01,38.541
"MEDIA",2025-11-01,34.849
"MEDIA",2025-12-01,21.657
"MEDIA",2026-01-01,28.955
"MEDIA",2026-02-01,44.012
"MEDIA",2026-03-01,69.377
"MEDIA",2026-04-01,97.613
"MEDIA",2026-05-01,81.466
"MEDIA",2026-06-01,66.254
"MEDIA",2026-07-01,66.367
"MEDIA",2026-08-01,70.316
"MEDIA",2026-09-01,61.602
"MEDIA",2026-10-01,63.829
"MEDIA",2026-11-01,61.687
"MEDIA",2026-12-01,38.318
"MEDIA",2027-01-01,35.768
"MEDIA",2027-02-01,44.936
"MEDIA",2027-03-01,85.01
