# Archivo con la duracion de los bloques
# Bloques
     510
# Bloque   Etapa   NHoras  Ano   Mes  TipoBloque
    001    001      007    001    003    'Bloque 01'
    002    001      007    001    003    'Bloque 02'
    003    001      028    001    003    'Bloque 03'
    004    001      007    001    003    'Bloque 04'
    005    001      007    001    003    'Bloque 05'
    006    001      007    001    003    'Bloque 06'
    007    001      063    001    003    'Bloque 07'
    008    001      021    001    003    'Bloque 08'
    009    001      014    001    003    'Bloque 09'
    010    001      007    001    003    'Bloque 10'
    011    002      007    001    003    'Bloque 01'
    012    002      007    001    003    'Bloque 02'
    013    002      028    001    003    'Bloque 03'
    014    002      007    001    003    'Bloque 04'
    015    002      007    001    003    'Bloque 05'
    016    002      007    001    003    'Bloque 06'
    017    002      063    001    003    'Bloque 07'
    018    002      021    001    003    'Bloque 08'
    019    002      014    001    003    'Bloque 09'
    020    002      007    001    003    'Bloque 10'
    021    003      006    001    003    'Bloque 01'
    022    003      006    001    003    'Bloque 02'
    023    003      024    001    003    'Bloque 03'
    024    003      006    001    003    'Bloque 04'
    025    003      012    001    003    'Bloque 05'
    026    003      006    001    003    'Bloque 06'
    027    003      048    001    003    'Bloque 07'
    028    003      018    001    003    'Bloque 08'
    029    003      012    001    003    'Bloque 09'
    030    003      006    001    003    'Bloque 10'
    031    004      007    001    004    'Bloque 01'
    032    004      007    001    004    'Bloque 02'
    033    004      028    001    004    'Bloque 03'
    034    004      007    001    004    'Bloque 04'
    035    004      007    001    004    'Bloque 05'
    036    004      007    001    004    'Bloque 06'
    037    004      007    001    004    'Bloque 07'
    038    004      056    001    004    'Bloque 08'
    039    004      035    001    004    'Bloque 09'
    040    004      007    001    004    'Bloque 10'
    041    005      008    001    004    'Bloque 01'
    042    005      008    001    004    'Bloque 02'
    043    005      032    001    004    'Bloque 03'
    044    005      008    001    004    'Bloque 04'
    045    005      008    001    004    'Bloque 05'
    046    005      008    001    004    'Bloque 06'
    047    005      056    001    004    'Bloque 07'
    048    005      016    001    004    'Bloque 08'
    049    005      040    001    004    'Bloque 09'
    050    005      008    001    004    'Bloque 10'
    051    006      008    001    004    'Bloque 01'
    052    006      008    001    004    'Bloque 02'
    053    006      032    001    004    'Bloque 03'
    054    006      008    001    004    'Bloque 04'
    055    006      008    001    004    'Bloque 05'
    056    006      008    001    004    'Bloque 06'
    057    006      008    001    004    'Bloque 07'
    058    006      064    001    004    'Bloque 08'
    059    006      040    001    004    'Bloque 09'
    060    006      008    001    004    'Bloque 10'
    061    007      008    001    004    'Bloque 01'
    062    007      008    001    004    'Bloque 02'
    063    007      032    001    004    'Bloque 03'
    064    007      008    001    004    'Bloque 04'
    065    007      008    001    004    'Bloque 05'
    066    007      008    001    004    'Bloque 06'
    067    007      064    001    004    'Bloque 07'
    068    007      008    001    004    'Bloque 08'
    069    007      040    001    004    'Bloque 09'
    070    007      008    001    004    'Bloque 10'
    071    008      007    001    005    'Bloque 01'
    072    008      007    001    005    'Bloque 02'
