# Archivo con cuva pmax en funcion del volumen
# Numero de embalses
4
# Nombre de Central
'CIPRESES'
# Nombre Embalse                   
'CIPRESES'
# Numero de Segmentos
6
# Volumen [10e6 m3]			Pendiente		Coeficiente
0.0     				0.000000000		30.00000000
4.7     				0.295071481		87.75930472	
11.0					0.209379029		88.81748014
30.0					0.149079218		90.65171263
60.0					0.110907612		92.98439893
108.0					0.000000000		105.0000000
# Nombre de Central
'COLBUN'
# Nombre Embalse                   
'COLBUN'    
# Numero de Segmentos
6
# Volumen [10e6 m3]			Pendiente		Coeficiente
381.6					0.265602893		239.7617143
500.0					0.218937651		263.0165813
621.0					0.179235592		287.7565885
770.0					0.146781800		312.6503436
920.0					0.118734128		338.6606249
1144.0					0.000000000		474.0000000
# Nombre de Central
'RALCO'
# Nombre Embalse                   
'RALCO'      
# Numero de Segmentos
7
# Volumen [10e6 m3]			Pendiente		Coeficiente
409.4					0.461636616		339.8323014
480.0					0.373397045		382.1716558
560.0					0.296893124		425.1147063
660.0					0.229422327		469.6985362
780.0					0.171320407		515.0870262
926.0					0.125784915		557.0910847
1070.0					0.096364626		588.3122838
# Nombre de Central
'CANUTILLAR'
# Nombre Embalse                   
'CANUTILLAR'    
# Numero de Segmentos
2
# Volumen [10e6 m3]			Pendiente		Coeficiente
89.94					0.815290000		-23.3333333
224.90					0.000000000		160.0000000





	

