# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 200 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    48
# Mes   Etapa    CosVar
   04     004     157.9
   04     005     157.9
   04     006     157.9
   04     007     157.9
   05     008     154.1
   05     009     154.1
   05     010     154.1
   05     011     154.1
   06     012     153.4
   06     013     153.4
   06     014     153.4
   06     015     153.4
   07     016     152.5
   07     017     152.5
   07     018     152.5
   07     019     152.5
   08     020     151.6
   08     021     151.6
   08     022     151.6
   08     023     151.6
   09     024     150.7
   10     025     150.0
   11     026     149.3
   12     027     148.6
   01     028     148.0
   02     029     147.4
   03     030     146.9
   04     031     146.3
   05     032     145.8
   06     033     145.2
   07     034     144.7
   08     035     144.1
   09     036     143.6
   10     037     143.1
   11     038     142.6
   12     039     142.2
   01     040     141.7
   02     041     141.3
   03     042     140.9
   04     043     140.5
   05     044     140.1
   06     045     139.6
   07     046     139.3
   08     047     138.9
   09     048     138.6
   10     049     138.3
   11     050     137.9
   12     051     137.6
# Nombre de la central
'ANDINA'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     067.2
   04     006     053.0
   04     007     053.0
   05     008     054.3
   05     009     054.3
   05     010     054.3
   05     011     054.3
   06     012     053.3
   06     013     053.3
   06     014     053.3
   06     015     053.3
   07     016     056.2
   07     017     056.2
   07     018     056.2
   07     019     056.2
   08     020     056.8
   08     021     056.8
   08     022     056.8
   08     023     056.8
   09     024     057.0
   10     025     056.7
   11     026     056.2
   12     027     056.0
   01     028     056.0
   02     029     055.9
   03     030     056.1
   04     031     056.2
   05     032     056.3
   06     033     056.5
   07     034     056.7
   08     035     056.9
   09     036     056.9
   10     037     056.8
   11     038     056.8
   12     039     056.8
   01     040     056.8
   02     041     056.8
   03     042     056.7
   04     043     056.7
   05     044     056.7
   06     045     056.7
   07     046     056.7
   08     047     056.7
   09     048     056.6
   10     049     056.6
   11     050     056.6
   12     051     056.6
# Nombre de la central
'ANGAMOS_1'
# Numero de etapas
    47
# Mes   Etapa    CosVar
   04     005     061.5
   04     006     059.5
   04     007     059.5
   05     008     047.7
   05     009     047.7
   05     010     047.7
   05     011     047.7
   06     012     056.9
   06     013     056.9
   06     014     056.9
   06     015     056.9
   07     016     046.2
   07     017     046.2
   07     018     046.2
   07     019     046.2
   08     020     057.8
   08     021     057.8
   08     022     057.8
   08     023     057.8
   09     024     061.9
   10     025     061.3
   11     026     060.5
   12     027     058.9
   01     028     058.3
   02     029     058.2
   03     030     058.3
   04     031     058.5
   05     032     058.6
   06     033     058.8
   07     034     059.1
   08     035     059.3
   09     036     059.3
   10     037     059.3
   11     038     059.3
   12     039     059.2
