# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 5
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con mantenimiento
    51
#   Mes   Etapa     VolMin     VolMax
     03     001  0.3816243  1.5043824
     03     002  0.3816243  1.5043824
     03     003  0.3816243  1.5043824
     04     004  0.3816243  1.5043824
     04     005  0.3816243  1.5043824
     04     006  0.3816243  1.5043824
     04     007  0.3816243  1.5043824
     05     008  0.3816243  1.5043824
     05     009  0.3816243  1.5043824
     05     010  0.3816243  1.5043824
     05     011  0.3816243  1.5043824
     06     012  0.3816243  1.5043824
     06     013  0.3816243  1.5043824
     06     014  0.3816243  1.5043824
     06     015  0.3816243  1.5043824
     07     016  0.3816243  1.5532459
     07     017  0.3816243  1.5532459
     07     018  0.3816243  1.5532459
     07     019  0.3816243  1.5532459
     08     020  0.3816243  1.5532459
     08     021  0.3816243  1.5532459
     08     022  0.3816243  1.5532459
     08     023  0.3816243  1.5532459
     09     024  0.3816243  1.5532459
     10     025  0.3816243  1.5532459
     11     026  0.3816243  1.5532459
     12     027  0.3816243  1.5532459
     01     028  0.3816243  1.5043824
     02     029  0.3816243  1.5043824
     03     030  0.3816243  1.5043824
     04     031  0.3816243  1.5043824
     05     032  0.3816243  1.5043824
     06     033  0.3816243  1.5043824
     07     034  0.3816243  1.5532459
     08     035  0.3816243  1.5532459
     09     036  0.3816243  1.5532459
     10     037  0.3816243  1.5532459
     11     038  0.3816243  1.5532459
     12     039  0.3816243  1.5532459
     01     040  0.3816243  1.5043824
     02     041  0.3816243  1.5043824
     03     042  0.3816243  1.5043824
     04     043  0.3816243  1.5043824
     05     044  0.3816243  1.5043824
     06     045  0.3816243  1.5043824
     07     046  0.3816243  1.5532459
     08     047  0.3816243  1.5532459
     09     048  0.3816243  1.5532459
     10     049  0.3816243  1.5532459
     11     050  0.3816243  1.5532459
     12     051  0.3816243  1.5532459
# Nombre del embalse
'RAPEL'
#   Numero de Etapas con mantenimiento
    51
#   Mes   Etapa     VolMin     VolMax
     03     001  0.2723049  0.5632124
     03     002  0.2723049  0.5632124
     03     003  0.2723049  0.5632124
     04     004  0.2723049  0.5632124
     04     005  0.2723049  0.5632124
     04     006  0.2723049  0.5632124
     04     007  0.2723049  0.5632124
     05     008  0.2723049  0.5632124
     05     009  0.2723049  0.5632124
     05     010  0.2723049  0.5632124
     05     011  0.2723049  0.5632124
     06     012  0.2723049  0.5632124
     06     013  0.2723049  0.5632124
     06     014  0.2723049  0.5632124
