# Archivo de minimos de embalses con holgura (plpminembh.dat)
# Numero de embalses con mantenimientos
 3 
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con vmin
    42
# Etapa     VolMin     Costo
     004  0.4287148    10.0000
     005  0.4809810    10.0000
     006  0.5336663    10.0000
     007  0.5877558    10.0000
     008  0.6338998    10.0000
     009  0.6879869    10.0000
     010  0.7421596    10.0000
     011  0.8530765    10.0000
     012  0.8847684    10.0000
     013  0.9222620    10.0000
     014  0.9562161    10.0000
     015  0.9961999    10.0000
     016  1.0005295    10.0000
     017  1.0048880    10.0000
     018  1.0092451    10.0000
     019  1.0131914    10.0000
     020  1.0216524    10.0000
     021  1.0308487    10.0000
     022  1.0388909    10.0000
     023  1.0479422    10.0000
     024  1.0479422    10.0000
     025  1.0479422    10.0000
     026  1.0479422    10.0000
     027  1.0479422    10.0000
     031  0.5877558    10.0000
     032  0.8530765    10.0000
     033  0.9961999    10.0000
     034  1.0131914    10.0000
     035  1.0479422    10.0000
     036  1.0479422    10.0000
     037  1.0479422    10.0000
     038  1.0479422    10.0000
     039  1.0479422    10.0000
     043  0.5877558    10.0000
     044  0.8530765    10.0000
     045  0.9961999    10.0000
     046  1.0131914    10.0000
     047  1.0479422    10.0000
     048  1.0479422    10.0000
     049  1.0479422    10.0000
     050  1.0479422    10.0000
     051  1.0479422    10.0000
# Nombre del embalse
'RAPEL'
#   Numero de Etapas con vmin
    51
# Etapa     VolMin     Costo
     001  0.2723000    10.0000
     002  0.2723000    10.0000
     003  0.2723000    10.0000
     004  0.2723000    10.0000
     005  0.2723000    10.0000
     006  0.2723000    10.0000
     007  0.2723000    10.0000
     008  0.2800934    10.0000
     009  0.3126684    10.0000
     010  0.3475799    10.0000
     011  0.3849120    10.0000
     012  0.4196293    10.0000
     013  0.4509561    10.0000
     014  0.4509561    10.0000
     015  0.4573005    10.0000
     016  0.4628994    10.0000
     017  0.4690995    10.0000
     018  0.4735684    10.0000
     019  0.4780650    10.0000
     020  0.4820223    10.0000
     021  0.4865711    10.0000
     022  0.4865711    10.0000
     023  0.4865711    10.0000
     024  0.4865711    10.0000
     025  0.4865711    10.0000
     026  0.4865711    10.0000
     027  0.3879525    10.0000
     028  0.3254818    10.0000
     029  0.2723049    10.0000
     030  0.2723000    10.0000
     031  0.2723000    10.0000
     032  0.3849120    10.0000
     033  0.4573005    10.0000
     034  0.4780650    10.0000
     035  0.4865711    10.0000
     036  0.4865711    10.0000
     037  0.4865711    10.0000
     038  0.4865711    10.0000
     039  0.3879525    10.0000
     040  0.3254818    10.0000
     041  0.2723049    10.0000
     042  0.2723000    10.0000
     043  0.2723000    10.0000
     044  0.3849120    10.0000
     045  0.4573005    10.0000
     046  0.4780650    10.0000
     047  0.4865711    10.0000
     048  0.4865711    10.0000
     049  0.4865711    10.0000
     050  0.4865711    10.0000
     051  0.3879525    10.0000
# Nombre del embalse
'CANUTILLAR'
#   Numero de Etapas con vmin
    08
# Etapa     VolMin     Costo
     025  0.5883911    10.0000
     026  0.5447702    10.0000
     027  0.4964757    10.0000
     037  0.5883911    10.0000
     038  0.5447702    10.0000
     039  0.4964757    10.0000
     049  0.5726372    10.0000
     050  0.5143126    10.0000
