#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9, Emb  10
1,1,1,1420238206,-97.03318043,-486.7188014,-331.801258,-311.667413,-53.10719477,-7.429227652,-100.6546958,-31.98746124,-14.98688307,-11.0025077
1,1,2,1383622224,-97.03318043,-239.8565755,-187.7163319,-167.4039137,-53.10124622,-7.46452097,-100.6546958,-32.01959925,-14.98430324,-11.03538014
1,1,3,1388388858,-97.03318043,-263.6820148,-187.7921801,-167.4039137,-54.1353743,-7.48579901,-100.6546958,-32.08573117,-14.88333782,-11.05139923
1,1,4,1459305867,-97.03318043,-237.9403042,-187.0702968,-167.2274068,-53.96412195,-7.440146749,-100.6546958,-31.94919534,-14.52838627,-11.0052518
1,1,5,1412193698,-97.03318043,-439.9970499,-250.780689,-230.463072,-53.95887002,-7.432885936,-100.6546958,-31.97392528,-14.94831564,-10.99184957
1,1,6,1409903306,-97.03318043,-443.6155514,-258.0712379,-237.887538,-54.13526513,-7.424295831,-100.6546958,-31.95917414,-14.99574155,-10.97927913
1,1,7,1455653822,-97.03318043,-238.5506247,-187.536342,-167.6391262,-54.13208746,-7.459406156,-100.6546958,-32.0090772,-14.81853676,-11.02408206
1,1,8,1396702916,-97.03318043,-238.848052,-187.4772204,-167.4873779,-54.13407984,-7.474894469,-100.6546958,-32.06329513,-14.87469768,-11.040941
1,1,9,1392596639,-97.03318043,-426.28484,-223.8840352,-203.8373585,-53.09951378,-7.423190859,-100.6546958,-31.95686594,-15.02567923,-10.96989896
1,1,10,1392532436,-97.03318043,-426.2850999,-223.8878302,-203.8435578,-53.09946179,-7.423360465,-100.6546958,-31.95686594,-15.02729211,-10.96989558
1,1,11,1384252039,-97.03318043,-256.7268172,-188.1758139,-167.4039137,-53.10673989,-7.471403711,-100.6546958,-32.03666379,-14.84560218,-11.03526161
1,1,12,1396058414,-97.03318043,-438.9304187,-249.2342621,-229.2918961,-53.10201042,-7.421002231,-100.6546958,-31.95295916,-15.0334226,-10.96885364
1,1,13,1405383997,-97.03318043,-457.1387777,-285.0260515,-265.039991,-53.10303066,-7.423540988,-100.6546958,-31.96174876,-15.03203327,-10.97368331
1,1,14,1420476044,-97.03318043,-486.8404756,-331.8300714,-311.6514402,-53.10856201,-7.457716078,-100.6546958,-32.00061641,-14.95873372,-11.0128296
1,1,15,1444653366,-97.03318043,-487.5817889,-331.9385021,-311.3998389,-53.11870846,-7.481047451,-100.6546958,-32.0902072,-14.88611,-11.07071804
