Año,Mes,Dia,Hora,Bloque
2025,10,1,1,1
2025,10,1,2,1
2025,10,1,3,2
2025,10,1,4,2
2025,10,1,5,2
2025,10,1,6,2
2025,10,1,7,3
2025,10,1,8,3
2025,10,1,9,4
2025,10,1,10,4
2025,10,1,11,5
2025,10,1,12,5
2025,10,1,13,6
2025,10,1,14,6
2025,10,1,15,6
2025,10,1,16,7
2025,10,1,17,7
2025,10,1,18,8
2025,10,1,19,8
2025,10,1,20,9
2025,10,1,21,9
2025,10,1,22,10
2025,10,1,23,10
2025,10,1,24,10
2025,10,2,1,1
2025,10,2,2,1
2025,10,2,3,2
2025,10,2,4,2
2025,10,2,5,2
2025,10,2,6,2
2025,10,2,7,3
2025,10,2,8,3
2025,10,2,9,4
2025,10,2,10,4
2025,10,2,11,5
2025,10,2,12,5
2025,10,2,13,6
2025,10,2,14,6
2025,10,2,15,6
2025,10,2,16,7
2025,10,2,17,7
2025,10,2,18,8
2025,10,2,19,8
2025,10,2,20,9
2025,10,2,21,9
2025,10,2,22,10
2025,10,2,23,10
2025,10,2,24,10
2025,10,3,1,1
2025,10,3,2,1
2025,10,3,3,2
2025,10,3,4,2
2025,10,3,5,2
2025,10,3,6,2
2025,10,3,7,3
2025,10,3,8,3
2025,10,3,9,4
2025,10,3,10,4
2025,10,3,11,5
2025,10,3,12,5
2025,10,3,13,6
2025,10,3,14,6
2025,10,3,15,6
2025,10,3,16,7
2025,10,3,17,7
2025,10,3,18,8
2025,10,3,19,8
2025,10,3,20,9
2025,10,3,21,9
2025,10,3,22,10
2025,10,3,23,10
2025,10,3,24,10
2025,10,4,1,1
2025,10,4,2,1
2025,10,4,3,2
2025,10,4,4,2
2025,10,4,5,2
2025,10,4,6,2
2025,10,4,7,3
2025,10,4,8,3
2025,10,4,9,4
2025,10,4,10,4
2025,10,4,11,5
2025,10,4,12,5
2025,10,4,13,6
2025,10,4,14,6
2025,10,4,15,6
2025,10,4,16,7
2025,10,4,17,7
2025,10,4,18,8
2025,10,4,19,8
2025,10,4,20,9
