# Archivo con la duracion de los bloques
# Bloques
     234
# Bloque   Etapa   NHoras  Ano   Mes  TipoBloque
    001    001      014    001    007    'Bloque 01'
    002    001      028    001    007    'Bloque 02'
    003    001      014    001    007    'Bloque 03'
    004    001      014    001    007    'Bloque 04'
    005    001      014    001    007    'Bloque 05'
    006    001      021    001    007    'Bloque 06'
    007    001      014    001    007    'Bloque 07'
    008    001      014    001    007    'Bloque 08'
    009    001      014    001    007    'Bloque 09'
    010    001      021    001    007    'Bloque 10'
    011    002      016    001    007    'Bloque 01'
    012    002      032    001    007    'Bloque 02'
    013    002      016    001    007    'Bloque 03'
    014    002      016    001    007    'Bloque 04'
    015    002      016    001    007    'Bloque 05'
    016    002      024    001    007    'Bloque 06'
    017    002      016    001    007    'Bloque 07'
    018    002      016    001    007    'Bloque 08'
    019    002      016    001    007    'Bloque 09'
    020    002      024    001    007    'Bloque 10'
    021    003      024    001    007    'Bloque 01'
    022    003      024    001    007    'Bloque 02'
    023    003      040    001    007    'Bloque 03'
    024    003      072    001    007    'Bloque 04'
    025    003      032    001    007    'Bloque 05'
    026    004      024    001    007    'Bloque 01'
    027    004      024    001    007    'Bloque 02'
    028    004      040    001    007    'Bloque 03'
    029    004      072    001    007    'Bloque 04'
    030    004      032    001    007    'Bloque 05'
    031    005      056    001    008    'Bloque 01'
    032    005      070    001    008    'Bloque 02'
    033    005      042    001    008    'Bloque 03'
    034    006      064    001    008    'Bloque 01'
    035    006      080    001    008    'Bloque 02'
    036    006      048    001    008    'Bloque 03'
    037    007      056    001    008    'Bloque 01'
    038    007      070    001    008    'Bloque 02'
    039    007      042    001    008    'Bloque 03'
    040    008      064    001    008    'Bloque 01'
    041    008      080    001    008    'Bloque 02'
    042    008      048    001    008    'Bloque 03'
    043    009      056    001    009    'Bloque 01'
    044    009      070    001    009    'Bloque 02'
    045    009      042    001    009    'Bloque 03'
    046    010      064    001    009    'Bloque 01'
    047    010      080    001    009    'Bloque 02'
    048    010      048    001    009    'Bloque 03'
    049    011      064    001    009    'Bloque 01'
    050    011      080    001    009    'Bloque 02'
    051    011      048    001    009    'Bloque 03'
    052    012      064    001    009    'Bloque 01'
    053    012      080    001    009    'Bloque 02'
    054    012      048    001    009    'Bloque 03'
    055    013      056    001    010    'Bloque 01'
    056    013      070    001    010    'Bloque 02'
    057    013      042    001    010    'Bloque 03'
    058    014      064    001    010    'Bloque 01'
    059    014      080    001    010    'Bloque 02'
    060    014      048    001    010    'Bloque 03'
    061    015      064    001    010    'Bloque 01'
    062    015      080    001    010    'Bloque 02'
    063    015      048    001    010    'Bloque 03'
    064    016      064    001    010    'Bloque 01'
    065    016      080    001    010    'Bloque 02'
    066    016      048    001    010    'Bloque 03'
    067    017      056    001    011    'Bloque 01'
    068    017      070    001    011    'Bloque 02'
    069    017      042    001    011    'Bloque 03'
    070    018      056    001    011    'Bloque 01'
    071    018      070    001    011    'Bloque 02'
    072    018      042    001    011    'Bloque 03'
    073    019      056    001    011    'Bloque 01'
    074    019      070    001    011    'Bloque 02'
    075    019      042    001    011    'Bloque 03'
    076    020      056    001    011    'Bloque 01'
    077    020      070    001    011    'Bloque 02'
    078    020      042    001    011    'Bloque 03'
    079    021      056    001    012    'Bloque 01'
    080    021      070    001    012    'Bloque 02'
    081    021      042    001    012    'Bloque 03'
    082    022      064    001    012    'Bloque 01'
    083    022      080    001    012    'Bloque 02'
    084    022      048    001    012    'Bloque 03'
    085    023      064    001    012    'Bloque 01'
    086    023      080    001    012    'Bloque 02'
    087    023      048    001    012    'Bloque 03'
    088    024      064    001    012    'Bloque 01'
    089    024      080    001    012    'Bloque 02'
    090    024      048    001    012    'Bloque 03'
    091    025      240    002    001    'Bloque 01'
    092    025      300    002    001    'Bloque 02'
    093    025      180    002    001    'Bloque 03'
    094    026      248    002    002    'Bloque 01'
    095    026      310    002    002    'Bloque 02'
    096    026      186    002    002    'Bloque 03'
    097    027      240    002    003    'Bloque 01'
    098    027      300    002    003    'Bloque 02'
    099    027      180    002    003    'Bloque 03'
    100    028      248    002    004    'Bloque 01'
    101    028      310    002    004    'Bloque 02'
    102    028      186    002    004    'Bloque 03'
    103    029      248    002    005    'Bloque 01'
    104    029      310    002    005    'Bloque 02'
    105    029      186    002    005    'Bloque 03'
    106    030      240    002    006    'Bloque 01'
    107    030      300    002    006    'Bloque 02'
    108    030      180    002    006    'Bloque 03'
    109    031      248    002    007    'Bloque 01'
    110    031      310    002    007    'Bloque 02'
    111    031      186    002    007    'Bloque 03'
    112    032      240    002    008    'Bloque 01'
    113    032      300    002    008    'Bloque 02'
    114    032      180    002    008    'Bloque 03'
    115    033      248    002    009    'Bloque 01'
    116    033      310    002    009    'Bloque 02'
    117    033      186    002    009    'Bloque 03'
    118    034      248    002    010    'Bloque 01'
    119    034      310    002    010    'Bloque 02'
    120    034      186    002    010    'Bloque 03'
    121    035      224    002    011    'Bloque 01'
    122    035      280    002    011    'Bloque 02'
    123    035      168    002    011    'Bloque 03'
    124    036      248    002    012    'Bloque 01'
    125    036      310    002    012    'Bloque 02'
    126    036      186    002    012    'Bloque 03'
