# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 271 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     144.8
   07     002     144.8
   07     003     144.8
   07     004     144.8
   08     005     142.9
   08     006     142.9
   08     007     142.9
   08     008     142.9
   09     009     141.4
   09     010     141.4
   09     011     141.4
   09     012     141.4
   10     013     140.5
   10     014     140.5
   10     015     140.5
   10     016     140.5
   11     017     139.9
   11     018     139.9
   11     019     139.9
   11     020     139.9
   12     021     139.4
   12     022     139.4
   12     023     139.4
   12     024     139.4
   01     025     139.1
   02     026     138.8
   03     027     138.6
   04     028     138.3
   05     029     138.1
   06     030     137.9
   07     031     137.8
   08     032     137.7
   09     033     137.6
   10     034     137.4
   11     035     137.3
   12     036     137.3
   01     037     137.3
   02     038     137.3
   03     039     137.3
   04     040     137.3
   05     041     137.2
   06     042     137.3
   07     043     137.3
   08     044     137.4
   09     045     137.6
   10     046     137.6
   11     047     137.6
   12     048     137.8
   01     049     137.9
   02     050     138.0
   03     051     138.1
   04     052     138.1
   05     053     138.2
   06     054     138.2
   07     055     138.3
   08     056     138.3
   09     057     138.4
   10     058     138.6
   11     059     138.7
   12     060     138.8
   01     061     138.9
   02     062     139.0
   03     063     139.0
   04     064     139.1
   05     065     139.1
   06     066     139.1
   07     067     139.2
   08     068     139.2
   09     069     139.1
   10     070     139.1
   11     071     139.1
   12     072     139.1
# Nombre de la central
'ANDINA'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   07     001     060.4
   07     002     060.4
   07     003     060.4
   07     004     060.4
   08     005     060.8
   08     006     060.8
   08     007     060.8
   08     008     060.8
   09     009     061.0
   09     010     061.0
   09     011     061.0
   09     012     061.0
   10     013     060.0
   10     014     060.0
   10     015     060.0
   10     016     060.0
   11     017     060.3
   11     018     060.3
   11     019     060.3
   11     020     060.3
   12     021     064.0
   12     022     064.0
   12     023     064.0
   12     024     064.0
   01     025     064.1
   02     026     064.3
   03     027     064.5
   04     028     064.6
   05     029     065.1
   06     030     065.5
   07     031     066.0
   08     032     066.4
   09     033     066.9
   10     034     067.4
   11     035     067.8
   12     036     068.3
   01     037     068.8
   02     038     069.3
   03     039     069.7
   04     040     070.2
   05     041     070.7
   06     042     071.2
   07     043     071.7
   08     044     072.2
   09     045     072.7
   10     046     073.2
   11     047     073.8
   12     048     074.3
   01     049     074.8
   02     050     075.3
   03     051     075.9
   04     052     076.4
   05     053     076.9
   06     054     077.5
   07     055     078.0
   08     056     078.6
   09     057     079.1
   10     058     079.7
   11     059     080.3
   12     060     080.8
