# Archivo de demandas por barra (plpdem.dat)
# Numero de barras
241
# Nombre de la Barra
'Coronel066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001     78.90
   07    002     70.92
   07    003     73.59
   07    004     82.20
   07    005     88.21
   07    006     89.09
   07    007     86.39
   07    008     82.91
   07    009     87.63
   07    010     89.78
   07    011     78.98
   07    012     71.17
   07    013     73.98
   07    014     82.57
   07    015     88.25
   07    016     88.98
   07    017     86.37
   07    018     82.89
   07    019     87.53
   07    020     89.66
   07    021     76.71
   07    022     70.22
   07    023     79.87
   07    024     86.13
   07    025     89.40
   07    026     75.70
   07    027     68.95
   07    028     77.33
   07    029     84.76
   07    030     88.53
   08    031     70.28
   08    032     81.68
   08    033     84.92
   08    034     73.21
   08    035     83.91
   08    036     84.92
   08    037     75.14
   08    038     86.87
   08    039     88.43
   08    040     74.46
   08    041     86.18
   08    042     88.82
   09    043     81.51
   09    044     92.03
   09    045     92.81
   09    046     82.27
   09    047     92.90
   09    048     94.29
   09    049     83.08
   09    050     93.76
   09    051     94.42
   09    052     78.19
   09    053     88.34
   09    054     89.87
   10    055     73.03
   10    056     84.83
   10    057     86.00
   10    058     77.36
   10    059     91.27
   10    060     90.63
   10    061     74.82
   10    062     88.08
   10    063     87.36
   10    064     77.27
   10    065     89.43
   10    066     88.64
   11    067     79.07
   11    068     89.65
   11    069     90.82
   11    070     78.59
   11    071     89.21
   11    072     90.32
   11    073     79.15
   11    074     89.64
   11    075     90.71
   11    076     78.61
   11    077     88.89
   11    078     89.87
   12    079     81.37
   12    080     93.40
   12    081     96.26
   12    082     78.28
   12    083     89.76
   12    084     93.56
   12    085     79.17
   12    086     91.86
   12    087     94.62
   12    088     79.79
   12    089     91.29
   12    090     93.86
   01    091     88.08
   01    092     97.31
   01    093     80.88
   02    094     84.86
   02    095     95.66
   02    096     86.51
   03    097     78.57
   03    098     95.86
   03    099     88.50
   04    100     76.41
   04    101     90.88
   04    102     81.31
   05    103     73.26
   05    104     89.41
   05    105     80.01
   06    106     78.19
   06    107     92.17
   06    108     84.87
   07    109     77.53
   07    110     90.57
   07    111     92.68
   08    112     78.30
   08    113     90.71
   08    114     92.51
   09    115     86.72
   09    116     97.97
   09    117     99.14
   10    118     75.35
   10    119     87.68
   10    120     87.69
   11    121     80.45
   11    122     90.96
   11    123     92.10
   12    124     82.52
   12    125     95.02
   12    126     98.40
   01    127     94.38
   01    128    104.45
   01    129     86.55
   02    130     88.07
   02    131     99.86
   02    132     89.69
   03    133     80.63
   03    134     97.52
   03    135     90.62
   04    136     80.06
   04    137     95.69
   04    138     87.17
   05    139     78.00
   05    140     95.55
   05    141     85.62
   06    142     82.79
   06    143     97.70
   06    144     90.12
   07    145     82.18
   07    146     95.89
   07    147     98.06
   08    148     83.37
   08    149     96.51
   08    150     98.64
   09    151     92.12
   09    152    104.40
   09    153    105.66
   10    154     74.75
   10    155     87.50
   10    156     87.52
   11    157     76.98
   11    158     86.79
   11    159     87.87
   12    160     86.40
   12    161     99.03
   12    162    101.95
   01    163    100.42
   01    164    110.91
   01    165     94.42
   02    166     92.93
   02    167    104.76
   02    168     92.66
   03    169     82.93
   03    170    100.64
   03    171     93.54
   04    172     84.37
   04    173    101.83
   04    174     93.98
   05    175     83.34
   05    176    101.93
   05    177     92.54
   06    178     85.56
   06    179    100.66
   06    180     93.85
   07    181     83.40
   07    182     97.67
   07    183    100.13
   08    184     85.22
   08    185     98.67
   08    186    100.86
   09    187     95.29
   09    188    107.02
   09    189    108.45
   10    190     76.24
   10    191     89.20
   10    192     88.95
   11    193     83.92
   11    194     94.81
   11    195     96.01
   12    196     88.04
   12    197    100.89
   12    198    104.50
   01    199    102.13
   01    200    113.42
   01    201     95.52
   02    202     95.78
   02    203    107.89
   02    204     96.50
   03    205     85.87
   03    206    104.74
   03    207     97.31
   04    208     87.20
   04    209    104.50
   04    210     98.29
   05    211     85.86
   05    212    105.10
   05    213     95.71
   06    214     87.67
   06    215    103.57
   06    216     98.24
   07    217     86.35
   07    218    101.22
   07    219    103.21
   08    220     88.27
   08    221    102.08
   08    222    104.63
   09    223     97.06
   09    224    110.02
   09    225    111.53
   10    226     76.63
   10    227     89.66
   10    228     89.39
   11    229     83.92
   11    230     94.81
   11    231     96.01
   12    232     91.40
   12    233    104.61
   12    234    107.85
# Nombre de la Barra
'Condores220'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001    107.36
   07    002     93.70
   07    003    102.16
   07    004    116.35
   07    005    128.49
   07    006    133.10
   07    007    131.43
   07    008    126.27
   07    009    136.57
   07    010    131.06
   07    011    106.41
   07    012     93.15
   07    013    101.93
   07    014    115.95
   07    015    127.73
   07    016    132.13
   07    017    130.45
   07    018    125.30
   07    019    135.34
   07    020    129.79
   07    021    102.35
   07    022     91.38
   07    023    111.69
   07    024    128.80
   07    025    131.55
   07    026    102.37
   07    027     90.99
   07    028    109.42
   07    029    126.95
   07    030    130.60
   08    031    100.82
   08    032    130.15
   08    033    133.02
   08    034    101.15
   08    035    130.81
   08    036    133.34
   08    037    104.92
   08    038    136.51
   08    039    138.65
   08    040    105.69
   08    041    136.53
   08    042    139.89
   09    043    101.76
   09    044    130.04
   09    045    132.18
   09    046    105.05
   09    047    132.96
   09    048    136.48
   09    049    103.08
   09    050    132.25
   09    051    133.94
   09    052    101.25
   09    053    127.51
   09    054    131.16
   10    055    106.90
   10    056    136.39
   10    057    140.25
   10    058    107.90
   10    059    142.63
   10    060    142.79
   10    061    103.52
   10    062    136.54
   10    063    136.62
   10    064    106.80
   10    065    138.94
   10    066    140.46
   11    067    112.88
   11    068    147.24
   11    069    144.86
   11    070    112.10
   11    071    146.43
   11    072    144.04
   11    073    112.22
   11    074    146.35
   11    075    143.85
   11    076    110.68
   11    077    144.21
   11    078    141.64
   12    079    109.69
   12    080    141.94
   12    081    143.12
