# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 6 
# Nombre del embalse
'CIPRESES'
#   Numero de Etapas con mantenimiento
    72
#   Mes   Etapa     VolMin     VolMax
     07     001  0.0471636  1.7458287
     07     002  0.0471636  1.7458287
     07     003  0.0471636  1.7458287
     07     004  0.0471636  1.7458287
     08     005  0.0471636  1.7458287
     08     006  0.0471636  1.7458287
     08     007  0.0471636  1.7458287
     08     008  0.0471636  1.7458287
     09     009  0.0471636  1.7458287
     09     010  0.0471636  1.7458287
     09     011  0.0471636  1.7458287
     09     012  0.0471636  1.7458287
     10     013  0.0471636  1.7458287
     10     014  0.0471636  1.7458287
     10     015  0.0471636  1.7458287
     10     016  0.0471636  1.7458287
     11     017  0.0471636  1.7458287
     11     018  0.0471636  1.7458287
     11     019  0.0471636  1.7458287
     11     020  0.0471636  1.7458287
     12     021  0.0471636  1.7458287
     12     022  0.0471636  1.7458287
     12     023  0.0471636  1.7458287
     12     024  0.0471636  1.7458287
     01     025  0.0471636  1.7458287
     02     026  0.0471636  1.7458287
     03     027  0.0471636  1.7458287
     04     028  0.0471636  1.7458287
     05     029  0.0471636  1.7458287
     06     030  0.0471636  1.7458287
     07     031  0.0471636  1.7458287
     08     032  0.0471636  1.7458287
     09     033  0.0471636  1.7458287
     10     034  0.0471636  1.7458287
     11     035  0.0471636  1.7458287
     12     036  0.0471636  1.7458287
     01     037  0.0471636  1.7458287
     02     038  0.0471636  1.7458287
     03     039  0.0471636  1.7458287
     04     040  0.0471636  1.7458287
     05     041  0.0471636  1.7458287
     06     042  0.0471636  1.7458287
     07     043  0.0471636  1.7458287
     08     044  0.0471636  1.7458287
     09     045  0.0471636  1.7458287
     10     046  0.0471636  1.7458287
     11     047  0.0471636  1.7458287
     12     048  0.0471636  1.7458287
     01     049  0.0471636  1.7458287
     02     050  0.0471636  1.7458287
     03     051  0.0471636  1.7458287
     04     052  0.0471636  1.7458287
     05     053  0.0471636  1.7458287
     06     054  0.0471636  1.7458287
     07     055  0.0471636  1.7458287
     08     056  0.0471636  1.7458287
     09     057  0.0471636  1.7458287
     10     058  0.0471636  1.7458287
     11     059  0.0471636  1.7458287
     12     060  0.0471636  1.7458287
     01     061  0.0471636  1.7458287
     02     062  0.0471636  1.7458287
     03     063  0.0471636  1.7458287
     04     064  0.0471636  1.7458287
     05     065  0.0471636  1.7458287
     06     066  0.0471636  1.7458287
     07     067  0.0471636  1.7458287
     08     068  0.0471636  1.7458287
     09     069  0.0471636  1.7458287
     10     070  0.0471636  1.7458287
     11     071  0.0471636  1.7458287
     12     072  0.0471636  1.7458287
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con mantenimiento
    72
#   Mes   Etapa     VolMin     VolMax
     07     001  0.3816243  1.5532459
     07     002  0.3816243  1.5532459
     07     003  0.3816243  1.5532459
     07     004  0.3816243  1.5532459
     08     005  0.3816243  1.5532459
     08     006  0.3816243  1.5532459
     08     007  0.3816243  1.5532459
     08     008  0.3816243  1.5532459
     09     009  0.3816243  1.5532459
     09     010  0.3816243  1.5532459
     09     011  0.3816243  1.5532459
     09     012  0.3816243  1.5532459
     10     013  0.3816243  1.5532459
     10     014  0.3816243  1.5532459
     10     015  0.3816243  1.5532459
     10     016  0.3816243  1.5532459
     11     017  0.3816243  1.5532459
     11     018  0.3816243  1.5532459
     11     019  0.3816243  1.5532459
     11     020  0.3816243  1.5532459
     12     021  0.3816243  1.5532459
     12     022  0.3816243  1.5532459
     12     023  0.3816243  1.5532459
     12     024  0.3816243  1.5532459
     01     025  0.3816243  1.5043824
     02     026  0.3816243  1.5043824
     03     027  0.3816243  1.5043824
     04     028  0.3816243  1.5043824
     05     029  0.3816243  1.5043824
     06     030  0.3816243  1.5043824
     07     031  0.3816243  1.5532459
     08     032  0.3816243  1.5532459
     09     033  0.3816243  1.5532459
     10     034  0.3816243  1.5532459
     11     035  0.3816243  1.5532459
     12     036  0.3816243  1.5532459
     01     037  0.3816243  1.5043824
     02     038  0.3816243  1.5043824
     03     039  0.3816243  1.5043824
     04     040  0.3816243  1.5043824
     05     041  0.3816243  1.5043824
     06     042  0.3816243  1.5043824
