# Archivo de mantenimientos de baterias (plpmanbat.dat)
# numero de baterias con matenimientos
 3 
# Nombre de la bateria
'BAT_ALFALFAL'
#   Numero de Bloques e Intervalos
    60
#   Bloque  EMin    EMax
     001     0.00    197.00
     002     0.00    197.00
     003     0.00    197.00
     004     0.00    197.00
     005     0.00    197.00
     006     0.00    197.00
     007     0.00    197.00
     008     0.00    197.00
     009     0.00    197.00
     010     0.00    197.00
     011     0.00    197.00
     012     0.00    197.00
     013     0.00    197.00
     014     0.00    197.00
     015     0.00    197.00
     016     0.00    197.00
     017     0.00    197.00
     018     0.00    197.00
     019     0.00    197.00
     020     0.00    197.00
     021     0.00    197.00
     022     0.00    197.00
     023     0.00    197.00
     024     0.00    197.00
     025     0.00    197.00
     026     0.00    197.00
     027     0.00    197.00
     028     0.00    197.00
     029     0.00    197.00
     030     0.00    197.00
     031     0.00    197.00
     032     0.00    197.00
     033     0.00    197.00
     034     0.00    197.00
     035     0.00    197.00
     036     0.00    197.00
     037     0.00    197.00
     038     0.00    197.00
     039     0.00    197.00
     040     0.00    197.00
     041     0.00    197.00
     042     0.00    197.00
     043     0.00    197.00
     044     0.00    197.00
     045     0.00    197.00
     046     0.00    197.00
     047     0.00    197.00
     048     0.00    197.00
     049     0.00    197.00
     050     0.00    197.00
     051     0.00    197.00
     052     0.00    197.00
     053     0.00    197.00
     054     0.00    197.00
     055     0.00    197.00
     056     0.00    197.00
     057     0.00    197.00
     058     0.00    197.00
     059     0.00    197.00
     060     0.00    197.00
     061     0.00    197.00
     062     0.00    197.00
     063     0.00    197.00
     064     0.00    197.00
     065     0.00    197.00
# Nombre de la bateria
'BAT_SAN_ANDRES_FV'
#   Numero de Bloques e Intervalos
    140
#   Bloque  EMin    EMax
     001     0.00    175.00
     002     0.00    175.00
     003     0.00    175.00
     004     0.00    175.00
     005     0.00    175.00
     006     0.00    175.00
     007     0.00    175.00
     008     0.00    175.00
     009     0.00    175.00
     010     0.00    175.00
     011     0.00    175.00
     012     0.00    175.00
     013     0.00    175.00
     014     0.00    175.00
     015     0.00    175.00
     016     0.00    175.00
     017     0.00    175.00
     018     0.00    175.00
     019     0.00    175.00
     020     0.00    175.00
     021     0.00    175.00
     022     0.00    175.00
     023     0.00    175.00
     024     0.00    175.00
     025     0.00    175.00
     026     0.00    175.00
     027     0.00    175.00
     028     0.00    175.00
     029     0.00    175.00
     030     0.00    175.00
     031     0.00    175.00
     032     0.00    175.00
     033     0.00    175.00
     034     0.00    175.00
     035     0.00    175.00
     036     0.00    175.00
     037     0.00    175.00
     038     0.00    175.00
     039     0.00    175.00
     040     0.00    175.00
     041     0.00    175.00
     042     0.00    175.00
     043     0.00    175.00
     044     0.00    175.00
     045     0.00    175.00
     046     0.00    175.00
     047     0.00    175.00
     048     0.00    175.00
     049     0.00    175.00
     050     0.00    175.00
     051     0.00    175.00
     052     0.00    175.00
     053     0.00    175.00
     054     0.00    175.00
     055     0.00    175.00
     056     0.00    175.00
     057     0.00    175.00
     058     0.00    175.00
     059     0.00    175.00
     060     0.00    175.00
     061     0.00    175.00
     062     0.00    175.00
     063     0.00    175.00
     064     0.00    175.00
     065     0.00    175.00
     066     0.00    175.00
     067     0.00    175.00
     068     0.00    175.00
     069     0.00    175.00
     070     0.00    175.00
     071     0.00    175.00
     072     0.00    175.00
     073     0.00    175.00
     074     0.00    175.00
     075     0.00    175.00
     076     0.00    175.00
     077     0.00    175.00
     078     0.00    175.00
     079     0.00    175.00
     080     0.00    175.00
     081     0.00    175.00
     082     0.00    175.00
     083     0.00    175.00
     084     0.00    175.00
     085     0.00    175.00
     086     0.00    175.00
     087     0.00    175.00
     088     0.00    175.00
     089     0.00    175.00
     090     0.00    175.00
     091     0.00    175.00
     092     0.00    175.00
     093     0.00    175.00
     094     0.00    175.00
     095     0.00    175.00
     096     0.00    175.00
     097     0.00    175.00
     098     0.00    175.00
     099     0.00    175.00
     100     0.00    175.00
     101     0.00    175.00
     102     0.00    175.00
     103     0.00    175.00
     104     0.00    175.00
     105     0.00    175.00
     106     0.00    175.00
     107     0.00    175.00
     108     0.00    175.00
     109     0.00    175.00
     110     0.00    175.00
     111     0.00    175.00
     112     0.00    175.00
     113     0.00    175.00
     114     0.00    175.00
     115     0.00    175.00
     116     0.00    175.00
     117     0.00    175.00
     118     0.00    175.00
     119     0.00    175.00
     120     0.00    175.00
     121     0.00    175.00
     122     0.00    175.00
     123     0.00    175.00
     124     0.00    175.00
     125     0.00    175.00
     126     0.00    175.00
     127     0.00    175.00
     128     0.00    175.00
     129     0.00    175.00
     130     0.00    175.00
# Nombre de la bateria
'BAT_ESTEPA_FV'
#   Numero de Bloques e Intervalos
    260
#   Bloque  EMin    EMax
     001     0.00    752.00
     002     0.00    752.00
     003     0.00    752.00
     004     0.00    752.00
     005     0.00    752.00
     006     0.00    752.00
     007     0.00    752.00
     008     0.00    752.00
     009     0.00    752.00
     010     0.00    752.00
     011     0.00    752.00
     012     0.00    752.00
     013     0.00    752.00
     014     0.00    752.00
     015     0.00    752.00
     016     0.00    752.00
     017     0.00    752.00
     018     0.00    752.00
     019     0.00    752.00
     020     0.00    752.00
     021     0.00    752.00
     022     0.00    752.00
     023     0.00    752.00
     024     0.00    752.00
     025     0.00    752.00
     026     0.00    752.00
     027     0.00    752.00
     028     0.00    752.00
     029     0.00    752.00
     030     0.00    752.00
     031     0.00    752.00
     032     0.00    752.00
     033     0.00    752.00
     034     0.00    752.00
     035     0.00    752.00
     036     0.00    752.00
     037     0.00    752.00
     038     0.00    752.00
     039     0.00    752.00
     040     0.00    752.00
     041     0.00    752.00
     042     0.00    752.00
     043     0.00    752.00
     044     0.00    752.00
     045     0.00    752.00
     046     0.00    752.00
     047     0.00    752.00
     048     0.00    752.00
     049     0.00    752.00
     050     0.00    752.00
     051     0.00    752.00
     052     0.00    752.00
     053     0.00    752.00
     054     0.00    752.00
     055     0.00    752.00
     056     0.00    752.00
     057     0.00    752.00
     058     0.00    752.00
     059     0.00    752.00
     060     0.00    752.00
     061     0.00    752.00
     062     0.00    752.00
     063     0.00    752.00
     064     0.00    752.00
     065     0.00    752.00
     066     0.00    752.00
     067     0.00    752.00
     068     0.00    752.00
     069     0.00    752.00
     070     0.00    752.00
     071     0.00    752.00
     072     0.00    752.00
     073     0.00    752.00
     074     0.00    752.00
     075     0.00    752.00
     076     0.00    752.00
     077     0.00    752.00
     078     0.00    752.00
     079     0.00    752.00
     080     0.00    752.00
     081     0.00    752.00
     082     0.00    752.00
     083     0.00    752.00
     084     0.00    752.00
     085     0.00    752.00
     086     0.00    752.00
     087     0.00    752.00
     088     0.00    752.00
     089     0.00    752.00
     090     0.00    752.00
     091     0.00    752.00
     092     0.00    752.00
     093     0.00    752.00
     094     0.00    752.00
     095     0.00    752.00
     096     0.00    752.00
     097     0.00    752.00
     098     0.00    752.00
     099     0.00    752.00
     100     0.00    752.00
     101     0.00    752.00
     102     0.00    752.00
     103     0.00    752.00
     104     0.00    752.00
     105     0.00    752.00
     106     0.00    752.00
     107     0.00    752.00
     108     0.00    752.00
     109     0.00    752.00
     110     0.00    752.00
     111     0.00    752.00
     112     0.00    752.00
     113     0.00    752.00
     114     0.00    752.00
     115     0.00    752.00
     116     0.00    752.00
     117     0.00    752.00
     118     0.00    752.00
     119     0.00    752.00
     120     0.00    752.00
     121     0.00    752.00
     122     0.00    752.00
     123     0.00    752.00
     124     0.00    752.00
     125     0.00    752.00
     126     0.00    752.00
     127     0.00    752.00
     128     0.00    752.00
     129     0.00    752.00
     130     0.00    752.00
     131     0.00    752.00
     132     0.00    752.00
     133     0.00    752.00
     134     0.00    752.00
     135     0.00    752.00
     136     0.00    752.00
     137     0.00    752.00
     138     0.00    752.00
     139     0.00    752.00
     140     0.00    752.00
     141     0.00    752.00
     142     0.00    752.00
     143     0.00    752.00
     144     0.00    752.00
     145     0.00    752.00
     146     0.00    752.00
     147     0.00    752.00
     148     0.00    752.00
     149     0.00    752.00
     150     0.00    752.00
     151     0.00    752.00
     152     0.00    752.00
     153     0.00    752.00
     154     0.00    752.00
     155     0.00    752.00
     156     0.00    752.00
     157     0.00    752.00
     158     0.00    752.00
     159     0.00    752.00
     160     0.00    752.00
  
    
