#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9, Emb  10
1,1,1,4.53E+08,-1.51E+02,-4.25E+01,0.00E+00,-6.86E+01,-5.41E-05,0.00E+00,-2.12E+02,0.00E+00,0.00E+00,0.00E+00
1,1,2,4.35E+08,-1.06E+02,-2.62E+01,0.00E+00,-3.89E+01,-3.12E-05,0.00E+00,-2.10E+02,0.00E+00,0.00E+00,0.00E+00
1,1,3,2.69E+08,-1.17E+02,-5.45E-04,0.00E+00,-3.83E+01,-6.27E-05,0.00E+00,-5.65E+01,0.00E+00,0.00E+00,0.00E+00
1,1,4,2.81E+08,-8.78E+01,-2.65E+01,0.00E+00,-4.04E+01,-5.02E-05,0.00E+00,-2.12E+02,0.00E+00,0.00E+00,0.00E+00
1,1,5,2.15E+08,-1.01E+02,-2.35E+01,0.00E+00,-3.82E+01,-8.55E-05,0.00E+00,-6.84E+01,0.00E+00,0.00E+00,0.00E+00
1,1,6,3.04E+08,-9.41E+01,-2.58E+01,0.00E+00,-4.16E+01,-1.80E-05,0.00E+00,-9.41E+01,0.00E+00,0.00E+00,0.00E+00
1,1,7,3.13E+08,-9.09E+01,-2.80E+01,0.00E+00,-4.17E+01,-8.58E-05,0.00E+00,-9.09E+01,0.00E+00,0.00E+00,0.00E+00
1,1,8,2.29E+08,-7.16E+01,-1.91E+01,0.00E+00,-3.24E+01,-5.41E-05,0.00E+00,-1.87E+02,0.00E+00,0.00E+00,0.00E+00
1,1,9,9.26E+07,-1.81E-04,-2.17E+01,0.00E+00,-3.78E+01,-8.59E-05,0.00E+00,-2.50E+01,0.00E+00,0.00E+00,0.00E+00
1,1,10,2.62E+08,-8.89E+01,-1.17E+01,0.00E+00,-4.07E+01,-5.59E-05,0.00E+00,-2.13E+02,0.00E+00,0.00E+00,0.00E+00
1,1,11,3.74E+08,-1.04E+02,-2.68E+01,0.00E+00,-4.19E+01,-5.41E-05,0.00E+00,-1.87E+02,0.00E+00,0.00E+00,0.00E+00
1,1,12,5.19E+08,-1.59E+02,-5.24E+01,0.00E+00,-7.34E+01,-6.15E-05,0.00E+00,-2.32E+02,0.00E+00,0.00E+00,0.00E+00
1,1,13,5.90E+08,-2.52E+02,-2.93E+01,0.00E+00,-5.26E+01,-5.05E-05,0.00E+00,-2.13E+02,0.00E+00,0.00E+00,0.00E+00
1,1,14,3.85E+08,-1.73E-05,-2.35E-04,0.00E+00,-3.76E+01,-4.90E-05,0.00E+00,-2.66E+01,0.00E+00,0.00E+00,0.00E+00
1,1,15,2.76E+08,-9.36E+01,-2.55E+01,0.00E+00,-3.92E+01,-5.41E-05,0.00E+00,-9.35E+01,0.00E+00,0.00E+00,0.00E+00
1,1,16,3.32E+08,-2.02E+02,-3.07E+01,0.00E+00,-4.30E+01,-6.29E-05,0.00E+00,-9.71E+01,0.00E+00,0.00E+00,0.00E+00
1,1,17,2.61E+08,-8.81E+01,-2.41E+01,0.00E+00,-4.01E+01,-6.33E-05,0.00E+00,-8.81E+01,0.00E+00,0.00E+00,0.00E+00
1,1,18,4.41E+08,-3.42E+02,-2.59E+01,0.00E+00,-4.03E+01,-9.92E-05,0.00E+00,-2.12E+02,0.00E+00,0.00E+00,0.00E+00
1,1,19,2.43E+08,-6.92E+01,-8.72E+00,0.00E+00,-1.55E+01,-5.41E-05,0.00E+00,-2.07E+02,0.00E+00,0.00E+00,0.00E+00
1,1,20,4.00E+08,-8.21E+01,-2.16E+01,0.00E+00,-3.75E+01,-2.82E-05,0.00E+00,-7.52E+01,0.00E+00,0.00E+00,0.00E+00
1,1,21,1.26E+08,-8.76E+01,-2.64E+01,0.00E+00,-4.04E+01,-1.75E-05,0.00E+00,-8.87E+01,0.00E+00,0.00E+00,0.00E+00
1,1,22,3.20E+08,-1.62E+02,-2.99E+01,0.00E+00,-4.29E+01,-4.82E-05,0.00E+00,-2.13E+02,0.00E+00,0.00E+00,0.00E+00
1,1,23,2.11E+08,-1.01E+02,-5.36E-04,0.00E+00,-3.70E+01,-3.71E-05,0.00E+00,-2.64E+01,0.00E+00,0.00E+00,0.00E+00
1,1,24,5.56E+08,-3.65E+02,-4.67E+01,0.00E+00,-6.89E+01,-7.96E-06,0.00E+00,-2.30E+02,0.00E+00,0.00E+00,0.00E+00
1,1,25,3.79E+08,-1.38E+02,-2.91E+01,0.00E+00,-4.38E+01,-8.78E-05,0.00E+00,-1.84E+02,0.00E+00,0.00E+00,0.00E+00
1,1,26,3.35E+08,-1.36E+02,-3.78E+01,0.00E+00,-6.28E+01,-1.72E-05,0.00E+00,-8.34E+01,0.00E+00,0.00E+00,0.00E+00
1,1,27,2.41E+08,-1.41E+02,-2.69E+01,0.00E+00,-4.30E+01,-5.47E-05,0.00E+00,-8.18E+01,0.00E+00,0.00E+00,0.00E+00
1,1,28,3.25E+08,-1.04E+02,-2.26E-04,0.00E+00,-4.09E+01,-5.06E-05,0.00E+00,-7.98E+01,0.00E+00,0.00E+00,0.00E+00
1,1,29,3.36E+08,-9.05E+01,-2.51E+01,0.00E+00,-4.16E+01,-6.31E-05,0.00E+00,-7.32E+01,0.00E+00,0.00E+00,0.00E+00
1,1,30,2.55E+08,-1.16E+02,-2.82E+01,0.00E+00,-4.29E+01,-8.45E-06,0.00E+00,-7.61E+01,0.00E+00,0.00E+00,0.00E+00
1,1,31,2.37E+08,-1.61E-04,-2.67E+01,0.00E+00,-4.12E+01,-6.17E-05,0.00E+00,-2.81E+01,0.00E+00,0.00E+00,0.00E+00
1,1,32,4.47E+08,-2.20E+02,-6.17E+01,0.00E+00,-9.91E+01,-1.58E-05,0.00E+00,-2.01E+02,0.00E+00,0.00E+00,0.00E+00
1,1,33,4.66E+08,-9.34E+01,-2.51E+01,0.00E+00,-4.22E+01,-6.23E-05,0.00E+00,-2.14E+02,0.00E+00,0.00E+00,0.00E+00
1,1,34,3.44E+08,-1.22E+02,-3.59E+01,0.00E+00,-5.60E+01,-6.30E-05,0.00E+00,-1.00E+02,0.00E+00,0.00E+00,0.00E+00
2,1,1,9.28E+08,-7.41E+01,-5.53E-04,0.00E+00,-3.42E+01,-1.57E-05,0.00E+00,-2.40E+01,0.00E+00,0.00E+00,0.00E+00
