# Archivo con la duracion de las etapas V20240102100052
# Etapas
     276   'H'
# Ano  Mes  Etapa FDesh   NHoras    FactTasa    TipoEtapa
 001 001   001    F     720   1.000000   '10 Bloques'
 001 002   002    F     744   1.007974   '10 Bloques'
 001 003   003    F     720   1.016012   '10 Bloques'
 001 004   004    F     744   1.024114   '10 Bloques'
 001 005   005    F     744   1.032280   '10 Bloques'
 001 006   006    F     720   1.040512   '10 Bloques'
 001 007   007    T     744   1.048809   '10 Bloques'
 001 008   008    T     720   1.057172   '10 Bloques'
 001 009   009    T     744   1.065602   '10 Bloques'
 001 010   010    T     744   1.074099   '10 Bloques'
 001 011   011    T     696   1.082665   '10 Bloques'
 001 012   012    T     744   1.091298   '10 Bloques'
 002 001   013    F     720   1.100000   '10 Bloques'
 002 002   014    F     744   1.108772   '10 Bloques'
 002 003   015    F     720   1.117613   '10 Bloques'
 002 004   016    F     744   1.126525   '10 Bloques'
 002 005   017    F     744   1.135508   '10 Bloques'
 002 006   018    F     720   1.144563   '10 Bloques'
 002 007   019    T     744   1.153690   '10 Bloques'
 002 008   020    T     720   1.162889   '10 Bloques'
 002 009   021    T     744   1.172162   '10 Bloques'
 002 010   022    T     744   1.181509   '10 Bloques'
 002 011   023    T     672   1.190931   '10 Bloques'
 002 012   024    T     744   1.200428   '10 Bloques'
 003 001   025    F     720   1.210000   '10 Bloques'
 003 002   026    F     744   1.219649   '10 Bloques'
 003 003   027    F     720   1.229374   '10 Bloques'
 003 004   028    F     744   1.239178   '10 Bloques'
 003 005   029    F     744   1.249059   '10 Bloques'
 003 006   030    F     720   1.259019   '10 Bloques'
 003 007   031    T     744   1.269059   '10 Bloques'
 003 008   032    T     720   1.279178   '10 Bloques'
 003 009   033    T     744   1.289379   '10 Bloques'
 003 010   034    T     744   1.299660   '10 Bloques'
 003 011   035    T     672   1.310024   '10 Bloques'
 003 012   036    T     744   1.320470   '10 Bloques'
 004 001   037    F     720   1.331000   '10 Bloques'
 004 002   038    F     744   1.341614   '10 Bloques'
 004 003   039    F     720   1.352312   '10 Bloques'
 004 004   040    F     744   1.363095   '10 Bloques'
 004 005   041    F     744   1.373965   '10 Bloques'
 004 006   042    F     720   1.384921   '10 Bloques'
 004 007   043    T     744   1.395965   '10 Bloques'
 004 008   044    T     720   1.407096   '10 Bloques'
 004 009   045    T     744   1.418317   '10 Bloques'
 004 010   046    T     744   1.429626   '10 Bloques'
 004 011   047    T     672   1.441026   '10 Bloques'
 004 012   048    T     744   1.452517   '10 Bloques'
 005 001   049    F     720   1.464100   '10 Bloques'
 005 002   050    F     744   1.475775   '10 Bloques'
 005 003   051    F     720   1.487543   '10 Bloques'
 005 004   052    F     744   1.499405   '10 Bloques'
 005 005   053    F     744   1.511361   '10 Bloques'
 005 006   054    F     720   1.523413   '10 Bloques'
 005 007   055    T     744   1.535561   '10 Bloques'
 005 008   056    T     720   1.547806   '10 Bloques'
 005 009   057    T     744   1.560148   '10 Bloques'
 005 010   058    T     744   1.572589   '10 Bloques'
 005 011   059    T     696   1.585129   '10 Bloques'
 005 012   060    T     744   1.597769   '10 Bloques'
 006 001   061    F     720   1.610510   '10 Bloques'
 006 002   062    F     744   1.623352   '10 Bloques'
 006 003   063    F     720   1.636297   '10 Bloques'
 006 004   064    F     744   1.649345   '10 Bloques'
 006 005   065    F     744   1.662497   '10 Bloques'
 006 006   066    F     720   1.675754   '10 Bloques'
 006 007   067    T     744   1.689117   '10 Bloques'
 006 008   068    T     720   1.702586   '10 Bloques'
 006 009   069    T     744   1.716163   '10 Bloques'
 006 010   070    T     744   1.729848   '10 Bloques'
 006 011   071    T     672   1.743642   '10 Bloques'
 006 012   072    T     744   1.757546   '10 Bloques'
 007 001   073    F     720   1.771561   '10 Bloques'
 007 002   074    F     744   1.785688   '10 Bloques'
 007 003   075    F     720   1.799927   '10 Bloques'
 007 004   076    F     744   1.814280   '10 Bloques'
 007 005   077    F     744   1.828747   '10 Bloques'
 007 006   078    F     720   1.843330   '10 Bloques'
 007 007   079    T     744   1.858029   '10 Bloques'
 007 008   080    T     720   1.872845   '10 Bloques'
 007 009   081    T     744   1.887779   '10 Bloques'
 007 010   082    T     744   1.902833   '10 Bloques'
 007 011   083    T     672   1.918006   '10 Bloques'
 007 012   084    T     744   1.933301   '10 Bloques'
 008 001   085    F     720   1.948717   '10 Bloques'
 008 002   086    F     744   1.964256   '10 Bloques'
 008 003   087    F     720   1.979920   '10 Bloques'
 008 004   088    F     744   1.995708   '10 Bloques'
 008 005   089    F     744   2.011622   '10 Bloques'
 008 006   090    F     720   2.027663   '10 Bloques'
 008 007   091    T     744   2.043832   '10 Bloques'
 008 008   092    T     720   2.060130   '10 Bloques'
 008 009   093    T     744   2.076557   '10 Bloques'
 008 010   094    T     744   2.093116   '10 Bloques'
 008 011   095    T     672   2.109807   '10 Bloques'
 008 012   096    T     744   2.126631   '10 Bloques'
 009 001   097    F     720   2.143589   '10 Bloques'
 009 002   098    F     744   2.160682   '10 Bloques'
 009 003   099    F     720   2.177912   '10 Bloques'
 009 004   100    F     744   2.195279   '10 Bloques'
 009 005   101    F     744   2.212784   '10 Bloques'
 009 006   102    F     720   2.230429   '10 Bloques'
 009 007   103    T     744   2.248215   '10 Bloques'
 009 008   104    T     720   2.266142   '10 Bloques'
 009 009   105    T     744   2.284213   '10 Bloques'
 009 010   106    T     744   2.302428   '10 Bloques'
 009 011   107    T     696   2.320788   '10 Bloques'
 009 012   108    T     744   2.339294   '10 Bloques'
 010 001   109    F     720   2.357948   '10 Bloques'
 010 002   110    F     744   2.376750   '10 Bloques'
 010 003   111    F     720   2.395703   '10 Bloques'
 010 004   112    F     744   2.414807   '10 Bloques'
 010 005   113    F     744   2.434063   '10 Bloques'
 010 006   114    F     720   2.453472   '10 Bloques'
 010 007   115    T     744   2.473036   '10 Bloques'
 010 008   116    T     720   2.492757   '10 Bloques'
 010 009   117    T     744   2.512634   '10 Bloques'
 010 010   118    T     744   2.532670   '10 Bloques'
 010 011   119    T     672   2.552866   '10 Bloques'
 010 012   120    T     744   2.573223   '10 Bloques'
 011 001   121    F     720   2.593742   '10 Bloques'
 011 002   122    F     744   2.614425   '10 Bloques'
