# Archivo de minimos de embalses con holgura (plpminembh.dat)
# Numero de embalses con mantenimientos
 2 
# Nombre del embalse
'COLBUN'
#   Numero de Etapas con vmin
   201
# Etapa     VolMin     Costo
     004  0.5877558    10.0000
     005  0.7960364    10.0000
     006  0.9961999    10.0000
     007  1.0131914    10.0000
     008  1.0479422    10.0000
     009  1.0479422    10.0000
     010  1.0479422    10.0000
     011  1.0479422    10.0000
     012  1.0479422    10.0000
     016  0.5877558    10.0000
     017  0.7960364    10.0000
     018  0.9961999    10.0000
     019  1.0131914    10.0000
     020  1.0479422    10.0000
     021  1.0479422    10.0000
     022  1.0479422    10.0000
     023  1.0479422    10.0000
     024  1.0479422    10.0000
     028  0.5877558    10.0000
     029  0.7960364    10.0000
     030  0.9961999    10.0000
     031  1.0131914    10.0000
     032  1.0479422    10.0000
     033  1.0479422    10.0000
     034  1.0479422    10.0000
     035  1.0479422    10.0000
     036  1.0479422    10.0000
     040  0.5877558    10.0000
     041  0.7960364    10.0000
     042  0.9961999    10.0000
     043  1.0131914    10.0000
     044  1.0479422    10.0000
     045  1.0479422    10.0000
     046  1.0479422    10.0000
     047  1.0479422    10.0000
     048  1.0479422    10.0000
     052  0.5877558    10.0000
     053  0.7960364    10.0000
     054  0.9961999    10.0000
     055  1.0131914    10.0000
     056  1.0479422    10.0000
     057  1.0479422    10.0000
     058  1.0479422    10.0000
     059  1.0479422    10.0000
     060  1.0479422    10.0000
     064  0.5877558    10.0000
     065  0.7960364    10.0000
     066  0.9961999    10.0000
     067  1.0131914    10.0000
     068  1.0479422    10.0000
     069  1.0479422    10.0000
     070  1.0479422    10.0000
     071  1.0479422    10.0000
     072  1.0479422    10.0000
     076  0.5877558    10.0000
     077  0.7960364    10.0000
     078  0.9961999    10.0000
     079  1.0131914    10.0000
     080  1.0479422    10.0000
     081  1.0479422    10.0000
     082  1.0479422    10.0000
     083  1.0479422    10.0000
     084  1.0479422    10.0000
     088  0.5877558    10.0000
     089  0.7960364    10.0000
     090  0.9961999    10.0000
     091  1.0131914    10.0000
     092  1.0479422    10.0000
     093  1.0479422    10.0000
     094  1.0479422    10.0000
     095  1.0479422    10.0000
     096  1.0479422    10.0000
     100  0.5877558    10.0000
     101  0.7960364    10.0000
     102  0.9961999    10.0000
     103  1.0131914    10.0000
     104  1.0479422    10.0000
     105  1.0479422    10.0000
     106  1.0479422    10.0000
     107  1.0479422    10.0000
     108  1.0479422    10.0000
     112  0.5877558    10.0000
     113  0.7960364    10.0000
     114  0.9961999    10.0000
     115  1.0131914    10.0000
     116  1.0479422    10.0000
     117  1.0479422    10.0000
     118  1.0479422    10.0000
     119  1.0479422    10.0000
     120  1.0479422    10.0000
     124  0.5877558    10.0000
     125  0.7960364    10.0000
     126  0.9961999    10.0000
     127  1.0131914    10.0000
     128  1.0479422    10.0000
     129  1.0479422    10.0000
     130  1.0479422    10.0000
     131  1.0479422    10.0000
     132  1.0479422    10.0000
     136  0.5877558    10.0000
     137  0.7960364    10.0000
     138  0.9961999    10.0000
     139  1.0131914    10.0000
     140  1.0479422    10.0000
     141  1.0479422    10.0000
     142  1.0479422    10.0000
     143  1.0479422    10.0000
     144  1.0479422    10.0000
     148  0.5877558    10.0000
     149  0.7960364    10.0000
     150  0.9961999    10.0000
     151  1.0131914    10.0000
     152  1.0479422    10.0000
     153  1.0479422    10.0000
     154  1.0479422    10.0000
     155  1.0479422    10.0000
     156  1.0479422    10.0000
     160  0.5877558    10.0000
     161  0.7960364    10.0000
     162  0.9961999    10.0000
     163  1.0131914    10.0000
     164  1.0479422    10.0000
     165  1.0479422    10.0000
     166  1.0479422    10.0000
     167  1.0479422    10.0000
     168  1.0479422    10.0000
     172  0.5877558    10.0000
     173  0.7960364    10.0000
     174  0.9961999    10.0000
     175  1.0131914    10.0000
     176  1.0479422    10.0000
     177  1.0479422    10.0000
     178  1.0479422    10.0000
     179  1.0479422    10.0000
     180  1.0479422    10.0000
     184  0.5877558    10.0000
     185  0.7960364    10.0000
     186  0.9961999    10.0000
     187  1.0131914    10.0000
     188  1.0479422    10.0000
     189  1.0479422    10.0000
     190  1.0479422    10.0000
     191  1.0479422    10.0000
     192  1.0479422    10.0000
     196  0.5877558    10.0000
     197  0.7960364    10.0000
     198  0.9961999    10.0000
     199  1.0131914    10.0000
     200  1.0479422    10.0000
     201  1.0479422    10.0000
     202  1.0479422    10.0000
     203  1.0479422    10.0000
     204  1.0479422    10.0000
     208  0.5877558    10.0000
     209  0.7960364    10.0000
     210  0.9961999    10.0000
     211  1.0131914    10.0000
     212  1.0479422    10.0000
     213  1.0479422    10.0000
     214  1.0479422    10.0000
     215  1.0479422    10.0000
     216  1.0479422    10.0000
     220  0.5877558    10.0000
     221  0.7960364    10.0000
     222  0.9961999    10.0000
     223  1.0131914    10.0000
     224  1.0479422    10.0000
     225  1.0479422    10.0000
     226  1.0479422    10.0000
     227  1.0479422    10.0000
     228  1.0479422    10.0000
     232  0.5877558    10.0000
     233  0.7960364    10.0000
     234  0.9961999    10.0000
     235  1.0131914    10.0000
     236  1.0479422    10.0000
     237  1.0479422    10.0000
     238  1.0479422    10.0000
     239  1.0479422    10.0000
     240  1.0479422    10.0000
     244  0.5877558    10.0000
     245  0.7960364    10.0000
     246  0.9961999    10.0000
     247  1.0131914    10.0000
     248  1.0479422    10.0000
     249  1.0479422    10.0000
     250  1.0479422    10.0000
     251  1.0479422    10.0000
     252  1.0479422    10.0000
     256  0.5877558    10.0000
     257  0.7960364    10.0000
     258  0.9961999    10.0000
     259  1.0131914    10.0000
     260  1.0479422    10.0000
     261  1.0479422    10.0000
     262  1.0479422    10.0000
     263  1.0249657     9.6552
     264  1.0479422    10.0000
     274  1.0479422    10.0000
     275  1.0479422    10.0000
     276  1.0479422    10.0000
# Nombre del embalse
'RAPEL'
#   Numero de Etapas con vmin
   245
# Etapa     VolMin     Costo
     001  0.3254818    10.0000
     003  0.2723000    10.0000
     004  0.2723000    10.0000
     005  0.3849120    10.0000
     006  0.4573005    10.0000
     007  0.4780650    10.0000
     008  0.4865711    10.0000
     009  0.4865711    10.0000
     010  0.4865711    10.0000
     011  0.4865711    10.0000
     012  0.3849120    10.0000
     013  0.3254818    10.0000
     015  0.2723000    10.0000
     016  0.2723000    10.0000
     017  0.3849120    10.0000
     018  0.4573005    10.0000
     019  0.4780650    10.0000
     020  0.4865711    10.0000
     021  0.4865711    10.0000
     022  0.4865711    10.0000
     023  0.4865711    10.0000
     024  0.3849120    10.0000
     025  0.3254818    10.0000
     027  0.2723000    10.0000
     028  0.2723000    10.0000
