#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9
1,1,1,498012760,-137.03762,-80.744038,-28.328619,-14.599519,-89.878595,-4.7662356,-14.058138,-22.07502,-10.539794
1,1,2,531373980,-202.38475,-84.795483,-26.576635,-13.483955,-66.580876,-4.5510965,-14.124632,-21.053815,-10.036833
1,1,3,936226770,-163.72738,-153.59241,-28.558539,-15.104474,-71.042166,-4.692866,-14.416527,-21.752482,-10.39058
1,1,4,980942310,-245.64128,-153.74652,-30.227197,-16.045938,-80.841852,-4.975219,-14.777959,-23.101144,-10.996188
1,1,5,998695940,-269.44623,-141.59964,-31.228813,-16.874819,-90.590502,-5.0624089,-15.338183,-23.502691,-11.153245
1,1,6,911244520,-297.00407,-160.01211,-33.117935,-18.695526,-109.16941,-5.1152426,-15.781302,-23.767215,-11.237294
1,1,7,1112230800,-112.65518,-147.32259,-31.503002,-17.567833,-95.32727,-4.87885,-15.270949,-22.673873,-10.794688
1,1,8,982362790,-112.22371,-164.75678,-33.391875,-19.375693,-107.39548,-4.927818,-15.564796,-22.912261,-10.885213
1,1,9,1046001100,-114.0376,-158.58864,-32.771172,-18.659996,-108.79327,-4.9636742,-15.888273,-23.027373,-10.942882
1,1,10,700225810,-168.43201,-147.41425,-32.064985,-17.856104,-90.505334,-5.0214161,-15.518762,-23.346457,-11.067374
1,1,11,663439280,-108.54814,-144.68502,-30.608538,-16.782841,-94.186054,-4.8360145,-14.360838,-22.452314,-10.69863
1,1,12,761461680,-113.75255,-165.76998,-32.745367,-18.659079,-112.12953,-4.9652522,-14.719734,-23.062225,-10.952843
1,1,13,180531570,-98.435519,-141.57812,-28.201712,-14.559216,-83.910802,-4.7406937,-14.159204,-21.964497,-10.497447
1,1,14,187427610,-254.99645,-88.216808,-28.562385,-14.721199,-88.876147,-4.8046658,-14.151189,-22.253995,-10.627358
1,1,15,660412870,-104.02039,-152.57014,-27.490301,-14.288238,-88.912796,-4.591851,-14.123945,-21.259941,-10.150625
1,1,16,462113500,-108.39937,-77.73743,-28.206576,-14.538568,-79.509542,-4.7458726,-14.040053,-21.969159,-10.485119
1,1,17,370005410,-95.002514,-151.60217,-25.403136,-12.407637,-91.057425,-4.5229105,-13.967798,-20.926757,-9.9852903
1,1,18,418091090,-125.97042,-79.148802,-28.278903,-14.56919,-87.22354,-4.7580384,-14.207497,-22.029386,-10.512327
1,1,19,489206100,-135.01418,-78.941953,-25.157627,-12.084398,-75.996571,-4.5447229,-15.091004,-21.048226,-10.047617
1,1,20,294288560,-152.76376,-147.7737,-31.985098,-17.772778,-91.049242,-5.0366378,-16.09312,-23.379204,-11.067397
1,1,21,757481450,-169.49278,-183.92489,-36.09276,-21.555305,-108.36191,-5.1806757,-15.780713,-24.066927,-11.37779
1,1,22,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
1,1,23,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
1,1,24,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
1,1,25,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
1,1,26,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
1,1,27,465526960,-185.81944,-144.01901,-29.104634,-15.3743,-69.612481,-4.7866071,-14.365406,-22.161433,-10.582052
2,1,1,864376480,-1.9925301,-3.8520189,-4.4359951,-0.20323067,0,-3.9847726,0,-17.068042,-7.4573855
2,1,2,794133330,-0.78137854,-7.96E-17,-3.8562047,0,0,-3.7646532,0,-13.439091,-6.123993
2,1,3,1024061100,-6.612604,-2.0131491,-4.0409751,0,0,-3.8914005,0,-16.492929,-7.1674729
2,1,4,920905430,-2.3615811,-10.261116,-4.4352085,0,0,-3.8687548,0,-15.200857,-6.7165987
2,1,5,979301900,-2.9006166,-3.9954068,-2.9197847,0,0,-3.588987,0,-7.81051,-4.1742003
2,1,6,987324210,-6.7583356,-2.135484,-3.5722327,0,0,-3.6035397,0,-9.9498965,-4.6619295
2,1,7,1084663400,-97.938425,-14.357906,-9.593716,3.92E-19,0,-4.0265995,0,-16.462859,-7.1728167
2,1,8,1113711400,-104.88097,-11.262345,-9.3138097,0,0,-4.0428714,0,-16.359025,-7.0009356
2,1,9,1061337300,-109.71755,-10.429007,-9.3403578,0,0,-4.0659289,0,-17.30337,-7.5316296
2,1,10,865384140,-16.291378,-15.649504,-7.031163,0,0,-3.664395,0,-11.337618,-5.1170975
2,1,11,884725950,-146.15038,-18.027537,-10.326189,0,0,-4.1415991,0,-18.414714,-8.1200582
2,1,12,998257210,-159.67359,-28.387202,-10.910246,-0.53883979,0,-4.0231059,0,-17.461875,-7.6147717
